lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.145,2.8085242058969935,1.9410914294179566,3.4020234025043585
1.147,2.81760411597051,1.9473051996337531,3.46288402399682
1.149,2.841219647267615,1.941990347028085,3.548809072282145
1.151,2.8264358522935717,1.94087287984068,3.5332281770161003
1.153,2.8150446497879624,1.9461684374134949,3.5726297304342847
1.155,2.8267671542059425,1.9411930919236866,3.445184090574273
1.157,2.861941562728674,1.947690019206155,3.45232671820672
1.159,2.8431260736714536,1.9462261901378899,3.5053539094531234
1.161,2.840239133697335,1.935952830330085,3.5459982674876054
1.163,2.844228274992027,1.9319540299619498,3.431440307696017
1.165,2.8753612440610574,1.939900936094645,3.362244002957845
1.167,2.9450391436516488,1.9306946653743733,3.386521528395363
1.169,2.9592664380382487,1.94088635522578,3.50433805493909
1.171,2.96835549613197,1.9492042322135668,3.57449423427034
1.173,3.000877582109325,1.94372615230751,3.396674468203985
1.175,3.014338679100001,1.9405327779710497,3.430552413244563
1.177,3.0438039661954837,1.940067820741415,3.4942961427002848
1.179,3.0753383997807204,1.9406117481178466,3.4832529316874736
1.181,3.1071740687656177,1.939840585307595,3.47654421015103
1.183,3.1414451312802014,1.9422324587365198,3.4125254087548504
1.185,3.1751301809723036,1.942636438463095,3.5238939081335747
1.187,3.2171734932416127,1.9416931115068732,3.553578813199193
1.189,3.256876054093465,1.94199306923877,3.5472115991897653
1.191,3.3003151312056387,1.9469296500854567,3.4576890988939764
1.193,3.3648038407127214,1.94547751285936,3.55750263308543
1.195,3.4179645833527688,1.9479887801961866,3.6887656354263734
1.197,3.4701314950782147,1.951370828677625,3.57249336483055
1.199,3.508539099931672,1.94783409648063,3.572504982229217
1.201,3.5463011916040696,1.9453711773342999,3.4948358342160404
1.203,3.6056801215924725,1.9516306955975267,3.790862749341407
1.205,3.664338834457478,1.94872850560396,3.562074728441735
1.207,3.709078325056403,1.9425407763745868,3.430628589104154
1.209,3.7677198392070386,1.94835872502703,3.5153751248896548
1.211,3.833797005442191,1.95236276595565,3.5029618750449667
1.213,3.8937316978853334,1.95170432113443,3.61876939917167
1.215,3.920931693471001,1.95003946677203,3.7615104456052233
1.217,3.9469862520241437,1.94810565257799,3.56134468620132
1.219,3.992158325733228,1.9501904355965465,3.6604754020306234
1.221,4.038148887491436,1.94862265453422,3.60258399860571
1.223,4.061182482084373,1.9570241658201832,3.807951786414287
1.225,4.082589262689563,1.95816614072814,3.804807478559195
1.227,4.123384849426968,1.9621097276634032,3.69830437812159
1.229,4.156860271623301,1.96167495091031,3.74031990040563
1.231,4.194835556510793,1.958834717680557,3.7952661650046533
1.233,4.221122156199455,1.94390203079756,3.6666438129786147
1.235,4.23888317871319,1.9415692972425467,3.6112162021843903
1.237,4.268067577325986,1.941100799861945,3.751184348259965
1.239,4.301808448595028,1.94684870650613,3.7667555147576834
1.241,4.328075319929272,1.95172705692573,3.8562251335641
1.243,4.367798513817263,1.9521199046638398,3.7514075476300435
1.245,4.396932588652968,1.949905600688505,3.78321325489541
1.247,4.440276783845208,1.9571027389370965,3.82383647945271
1.249,4.4705005358924055,1.966693507685975,3.797437423392235
1.251,4.49300079375186,1.9656115523386133,3.9350684265324234
1.253,4.5116151456263385,1.966660578422345,3.79668692049861
1.255,4.547919695215406,1.96884018453846,3.9398159523859166
1.257,4.605188132024649,1.961224906671065,3.735551864695045
1.259,4.653933796674009,1.9550773138561766,3.7925464259808632
1.261,4.702263585598273,1.927394780439775,3.7550512834068996
1.263,4.751718169821493,1.8856779086811135,3.540412643859627
1.265,4.807298021344599,1.91508336782317,3.74063824544583
1.267,4.845040493328243,1.9349054577837135,3.8763714546863
1.269,4.891122956492156,1.9363900476199398,3.7236997096092948
1.271,4.937297506212851,1.9323280927428534,3.7937795780239667
1.273,4.98850763039865,1.93084088293756,3.788839333711665
1.275,5.039340679802656,1.9258062219322698,3.8800968461430467
1.277,5.087355414848463,1.929587839129135,3.780610509717105
1.279,5.143346943383621,1.932569166589407,3.78414468814738
1.281,5.204750247723397,1.942833250350325,3.84244869935522
1.283,5.260232936303104,1.9544957016382567,3.873997963354707
1.285,5.315007491641601,1.9289689456565562,3.925122688930012
1.287,5.37884859178505,1.9230672525679902,3.8849955020274853
1.289,5.4309637025610975,1.9261864877536767,3.81520544913014
1.291,5.485325883754549,1.9236747158355199,3.78485333936493
1.293,5.534688732008788,1.9595496073128134,4.020105274200313
1.295,5.606703178526104,1.9513622004327251,4.036550773977175
1.298,5.677059875606175,1.9331970553955566,3.92305193769997
1.3,5.714026918922942,1.943899869079625,3.956712130214105
1.302,5.764550208537295,1.9537322455418,3.9418820224499265
1.304,5.8198912852709554,1.94002033016083,4.042186493236105
1.306,5.88610579403767,1.8951112015324068,3.8487589588388698
1.308,5.936321005083835,1.86648836385673,3.5441045458520053
1.31,5.999441132873335,1.88547051748903,3.6014025091048567
1.312,6.077436954145046,1.9235588398335501,3.9246944368534553
1.314,6.153490004125539,1.9307920976839934,3.8758807632610233
1.316,6.20236800363341,1.937754282271705,3.841268455868005
1.318,6.254238944030707,1.9359487105093933,3.9864038867806766
1.32,6.33497711107012,1.92080670752247,3.90310114367277
1.322,6.418192946123081,1.9254821985355965,3.87337152781922
1.324,6.470050224362069,1.930689017095125,3.89396164120199
1.326,6.523976466533892,1.91033146395546,3.8225196499352436
1.328,6.61995937653779,1.903230410191775,3.8080692687565048
1.33,6.700717340934074,1.89797865664533,3.83371122440497
1.332,6.750952296822614,1.9091137832115601,3.86368697806462
1.334,6.794890371501016,1.92703265179437,4.0348527250598964
1.336,6.86023513991453,1.922888500366465,3.81454360977852
1.338,6.947216378590057,1.9164195964296666,3.8477871133640633
1.34,6.993905265592173,1.89629958431887,3.8693264267310647
1.342,7.049212467345016,1.90570223025279,3.9180173801877665
1.344,7.116525578796424,1.92275790024705,4.035603239600984
1.346,7.200922634875813,1.9199739888965033,3.8504710631996932
1.348,7.245045515760826,1.924525148603365,4.047784831659965
1.35,7.314966266513067,1.9227039870284468,4.123461204363687
1.352,7.377838211805841,1.9284750565679651,4.010321832234345
1.354,7.440564229830491,1.9293412297880934,3.9463194426075234
1.356,7.495864651072366,1.9115147896531401,3.874706844685715
1.358,7.571744328485842,1.9061109102464233,4.112508258208046
1.36,7.653825822331225,1.912889686570715,3.943330606684715
1.362,7.7276290343298,1.9196579830696934,4.012338014227914
1.364,7.780073918560422,1.926880267973845,4.197283809763816
1.366,7.85170706223636,1.9332347934982668,4.14504765232381
1.368,7.941317948484723,1.93914860443041,4.0145248011920796
1.37,8.009337202953532,1.9297058481172433,4.15273592738235
1.372,8.051083382639105,1.926790261748395,4.08756745625297
1.374,8.133637872989878,1.9251926563123831,4.1026038585807205
1.376,8.236081577602661,1.923562334884,4.0754545689372055
1.378,8.323516091709019,1.9300049992345099,4.192815438701704
1.38,8.36847275014367,1.93144906238736,4.17032609777354
1.382,8.461173742712283,1.93645939332582,4.187450209828193
1.384,8.55187663468582,1.93822962240722,4.255479832320975
1.386,8.643143773620562,1.9369588556659003,4.171319059162143
1.388,8.710034032451684,1.93796607048442,4.25201234951045
1.39,8.810034297483995,1.93540547715782,4.319131508007216
1.392,8.899418969182502,1.9335383786178801,4.14875403592617
1.394,8.994899639834788,1.9276643600810601,4.15210717674514
1.398,9.082855147691415,1.938073135710584,4.20969979937243
1.4,9.187804193143759,1.9396606022956868,4.240493618438457
1.402,9.273307674962293,1.93775850370533,4.2394685797638445
1.406,9.343181611251822,1.94048487127191,4.268687684835666
1.408,9.420316859519083,1.9361287293092433,4.33680327602399
1.41,9.521715815950976,1.9356118930514201,4.378984606208865
1.412,9.611596360578252,1.9441221723847901,4.400849803042617
1.414,9.680131986491697,1.94086431816788,4.30023140848704
1.416,9.752693258373718,1.9478786995207666,4.46784140806905
1.418,9.862732523760474,1.948573365174945,4.38858481783339
1.42,9.950106806906787,1.9495286843797934,4.269057420978314
1.422,10.019268607118093,1.948475783948635,4.3779088692386345
1.424,10.100553284596208,1.9465021205342499,4.379994425858507
1.426,10.219412451662865,1.95005220270727,4.44685218918241
1.428,10.299663865410238,1.9377399751706132,4.386489555418847
1.43,10.397117235933425,1.94175215928296,4.553807236100591
1.432,10.457943884443116,1.9438585097767398,4.2549902353202596
1.434,10.55603363910597,1.94017298289576,4.32132616411526
1.436,10.631852856643087,1.9457575636757367,4.36352617054464
1.438,10.722807625779136,1.94075175855403,4.30439782253882
1.44,10.81593837167801,1.9389721773768667,4.253687322058297
1.442,10.918331012142133,1.94911786699485,4.361403331292355
1.444,10.984214524270019,1.94559378948325,4.46922707268051
1.446,11.071348197615063,1.94092217028148,4.42715806056613
1.448,11.173131478864425,1.94064977573374,4.418189216158243
1.45,11.275862135437851,1.942183439217425,4.24083895002956
1.452,11.352754062394753,1.9416137869887866,4.26647264609168
1.454,11.442374924671192,1.948263334138285,4.36052715279014
1.456,11.537656361446148,1.9558296597530667,4.503872084841434
1.458,11.638292381390292,1.95325639173982,4.6011380625801
1.46,11.711168991220521,1.95245385833218,4.436011983260427
1.462,11.79400038780884,1.94633462285394,4.501793503651385
1.464,11.882921086709382,1.94861447861003,4.50221873022155
