lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.223,3.978380679823975,1.97470113430567,5.466279957582722
1.225,3.9902618515645547,1.95154501695698,5.33954744836271
1.227,4.0018073735016095,1.96318111974108,5.3697467737018
1.229,4.008838701562055,1.96358048135664,5.34892569011141
1.231,4.02006571949347,1.96738327296739,5.24443567495296
1.233,4.043640602485629,1.9695803839579902,5.121045992822767
1.235,4.050637815653044,1.96396875761225,4.96195111505603
1.237,4.064727045023008,1.947325894458292,4.852261937745044
1.239,4.10589159150213,1.93165969750347,5.05451488623605
1.241,4.147901172820211,1.953130286209,5.07682010436701
1.243,4.1700918125141575,1.951217876302825,5.0466312515455005
1.245,4.270186707943104,1.96912224941116,5.413865090943897
1.247,4.294341248081861,1.96950800519923,5.57456937003304
1.249,4.348186994878835,1.9690930113063498,5.70972752370918
1.251,4.401942225652788,1.9694761599714,5.824647724227815
1.253,4.436484178255542,1.9696581668969497,5.7542742501110835
1.255,4.477932858918965,1.95364599558065,5.65812998593574
1.257,4.536173671347429,1.97261359847046,5.984050035134797
1.259,4.596719541625333,1.95361052282116,5.936795647543786
1.261,4.6323364592437,1.95619053909156,5.90822110436122
1.263,4.676142435279955,1.96795452693694,6.02579891506072
1.265,4.734495169224715,1.94734829727024,5.932466051984576
1.267,4.780673555201855,1.97488464640234,6.06107756966767
1.269,4.821087235526959,1.95370073416848,5.797666389074581
1.271,4.86594339793533,1.95567302115146,5.85205135259167
1.273,4.9153844858637274,1.9578425658470902,5.634346654757024
1.275,4.966789932084697,1.95741469291752,5.563169518227484
1.277,5.019916413509157,1.9737357937493798,5.4463236690371994
1.279,5.084926192921727,1.96931915095768,5.4464067399271
1.281,5.1370577642234725,1.97287047306778,5.431379806069677
1.283,5.202803024881096,1.93171400212746,5.13132658853892
1.285,5.246415168611008,1.96682302195241,5.205383762978717
1.287,5.312932738405554,1.94444687206965,5.36312709343076
1.289,5.359891787872611,1.9506008642694,5.2969775789480495
1.291,5.404528813212869,1.94856918833783,5.20870186762243
1.293,5.4456362265612315,1.9475344077932302,5.16340419251372
1.295,5.497688925387587,1.94809484801209,5.37256443247998
1.298,5.53490823836327,1.91425941545194,5.257028532625274
1.3,5.60485698982177,1.94420512737615,5.71400552061527
1.302,5.660133100914557,1.94017365706177,5.589267123996973
1.304,5.715369903591978,1.97835157835668,5.894337897811625
1.306,5.769376156465078,1.94746685811207,5.848609438825984
1.308,5.831954915465615,1.97169730154719,6.36235502043111
1.31,5.883020139302848,1.94916845046876,5.71300076871423
1.312,5.941198092310077,1.92918083862982,5.72753543158618
1.314,6.002095724899156,1.92154689791583,5.7330954736000335
1.316,6.062031922776737,1.93427684179177,6.09327134523461
1.318,6.116732416591962,1.9160616411932498,5.948220603167734
1.32,6.193431571268222,1.96244261586037,6.3898724277132
1.322,6.256201287928468,1.9405057588517398,6.143728723061483
1.324,6.332846300358401,1.94443549533056,6.05813248554003
1.326,6.387596723151277,1.9358189974129598,5.952614594500833
1.328,6.470566822655732,1.94293329957288,5.833875663088855
1.33,6.537195084388821,1.92455004125239,5.713787744249167
1.332,6.620234707461116,1.93505767020785,5.674414911357594
1.334,6.685406237887499,1.94614368511961,5.62994463500626
1.336,6.757422494092578,1.90522696529891,5.30440902145009
1.338,6.844351309915505,1.92592323003442,5.358289911293681
1.34,6.926599503391646,1.94496864078094,5.391646524055295
1.342,6.952838408731364,1.92381398432388,5.4066095308902
1.344,6.995160251779006,1.95893925009467,5.51421216629894
1.346,7.071167488693938,1.94577231123976,5.4913988627672365
1.348,7.150571438753877,1.94908274344408,5.51351114810646
1.35,7.204639378205807,1.93987995357426,5.429515488215263
1.352,7.2772347634999335,1.924926356389762,5.6432118252182
1.354,7.36713992559805,1.93557371145207,5.785210184289015
1.356,7.456085453493311,1.95317359845996,5.956045970684606
1.358,7.528994345921908,1.95409361363868,6.26917725349857
1.36,7.608404024783627,1.968875105179,6.324745212728064
1.362,7.697413955783882,1.95315511947102,6.30255412692302
1.364,7.782574541431966,1.9031918968038901,5.980955901728446
1.366,7.8396022701931685,1.92859947520225,6.17343080826142
1.368,7.9044048468291175,1.9325000534578998,6.308320992441664
1.37,7.98394525083687,1.92885163355494,6.265268418716699
1.372,8.06519922462999,1.93314587364482,6.102275154173291
1.374,8.136373931777891,1.92254454172393,6.08544704254478
1.376,8.213990103578997,1.9427119117000202,6.38314490198525
1.378,8.31498431839287,1.93311470343677,6.17030100918083
1.38,8.391333110808421,1.9564131011304398,6.59711239127349
1.382,8.465337931172458,1.93652656072115,6.184470851925505
1.384,8.555868795224775,1.93109189768988,6.051537275060617
1.386,8.670099560150861,1.91314286281433,5.85587155635591
1.388,8.75333708054442,1.93013625945033,5.779156725321943
1.39,8.823774071485792,1.93025213106496,5.574263906670099
1.392,8.904564154914487,1.9146912693490699,5.6203483821805
1.394,9.002864637258135,1.94632333054379,5.75435190072198
1.396,9.07211457125044,1.95572609196574,5.8655967753464795
1.398,9.135580865461279,1.93050810226733,5.590234325205175
1.4,9.214690745587937,1.94684930452992,5.714179407308563
1.402,9.303421224547018,1.90354973327238,5.52319439898589
1.404,9.353864771132045,1.94033994294578,5.737738560886534
1.406,9.39771693405668,1.94163350561287,5.828605770574445
1.408,9.470382491871694,1.94845968885421,5.98024227449309
1.41,9.558335327053197,1.94500681732476,6.01778164203487
1.412,9.649349601075318,1.94827128196356,6.0934454925068975
1.414,9.712068268725108,1.94462015286111,6.1530022308720245
1.416,9.77078332844282,1.95538305907201,6.442186653474846
1.418,9.869403149546246,1.93039274490749,6.54300217209343
1.42,9.955610886710176,1.9335932964449902,6.19033025687051
1.422,10.032628645217718,1.94067720360171,6.51973698727517
1.424,10.12627947599644,1.93346531099592,6.641615994663707
1.426,10.224063861180975,1.9392944243262,6.480353915117805
1.428,10.318590299181897,1.95635945530623,6.552652579200853
1.43,10.400364620629265,1.94639677784566,6.60549358386811
1.432,10.485391017712063,1.94550513332734,6.53162178125005
1.434,10.577138897177363,1.94619093974605,6.672939098914905
1.436,10.67306056596781,1.9527897452926701,6.606243880651694
1.438,10.762825845217538,1.96863092075231,6.77382565343387
1.44,10.878343948924659,1.9716686176044498,6.713214621415688
1.442,10.981676348715848,1.97332789843904,6.727820244944676
1.444,11.0428334839829,1.97085839528431,6.53899480045487
