lambda_theta,sigma_theta_kpa
0.9839924149046708,1.13412696379243
0.9839924317017289,1.1341270489915989
0.9839925492811354,1.1341276453857807
0.9839928684252389,1.1341292641699885
0.9839934899163877,1.1341324165392348
0.9839945145369304,1.1341376136885337
0.9839960430692154,1.134145366812897
0.9839981762955912,1.1341561871073382
0.9840010149984062,1.1341705857668705
0.9840046599600089,1.134189073986506
0.9840092119627477,1.1342121629612587
0.9840147717889712,1.1342403638861414
0.9840214402210277,1.1342741879561657
0.9840293180412658,1.1343141463663469
0.9840385060320338,1.1343607503116957
0.9840491049756803,1.1344145109872266
0.9840612156545538,1.1344759395879525
0.9840749388510026,1.1345455473088852
0.9840903753473753,1.134623845345039
0.9841076259260203,1.134711344891426
0.984126791369286,1.1348085571430595
0.984147972459521,1.1349159932949524
0.9841712699790737,1.1350341645421178
0.9841967847102925,1.1351635820795687
0.9842246174355259,1.1353047571023178
0.9842548689371224,1.1354582008053784
0.9842876399974305,1.1356244243837632
0.9843230313987985,1.1358039390324852
0.984361143923575,1.1359972559465574
0.9844020783541084,1.136204886320993
0.9844459354727472,1.1364273413508044
0.9844928160618399,1.1366651322310057
0.9845428209037348,1.1369187701566086
0.9845960507807805,1.1371887663226266
0.9846526064753255,1.137475631924073
0.9847125887697181,1.1377798781559605
0.9847760984463069,1.1381020162133015
0.9848432362874402,1.1384425572911094
0.9849141030754667,1.1388020125843978
0.9849887995927347,1.139180893288179
0.9850674266215926,1.139579710597466
0.9851500849443892,1.1399989757072724
0.9852368753434725,1.1404391998126102
0.9853278986011912,1.1409008941084926
0.9854232554998937,1.141384569789933
0.9855230468219287,1.1418907380519445
0.9856273733496443,1.1424199100895396
0.9857363358653892,1.1429725970977314
0.9858500351515118,1.1435493102715328
0.9859685719903605,1.1441505608059566
0.9860920471642838,1.1447768598960162
0.9862205614556302,1.1454287187367247
0.9863542156467481,1.1461066485230944
0.986493110519986,1.1468111604501388
0.9866373468576924,1.1475427657128712
0.9867870254422156,1.148301975506303
0.9869422470559044,1.1490893010254495
0.9871031124811068,1.1499052534653216
0.9872697225001716,1.1507503440209332
0.9874421778954472,1.1516250838872975
0.987620579449282,1.1525299842594272
0.9878050279440245,1.1534655563323348
0.9879956241620231,1.154432311301034
0.9881924688856264,1.1554307603605376
0.9883956628971827,1.1564614147058585
0.9886053069790405,1.1575247855320088
0.9888215019135483,1.1586213840340032
0.9890443484830547,1.1597517214068536
0.9892739474699078,1.1609163088455727
0.9895103996564564,1.162115657545174
0.9897538058250488,1.1633502787006706
0.9900042667580335,1.1646206835070754
0.990261883237759,1.1666277568601355
0.9905267560465737,1.1691772006942034
0.990798985966826,1.1717974579215944
0.9910786737808646,1.1744894985887937
0.9913659202710378,1.1772542927422849
0.991660826219694,1.180092810428551
0.9919634924091817,1.183006021694076
0.9922740196218494,1.185994896585344
0.9925925086400456,1.1890604051488398
0.9929190602461186,1.1922035174310461
0.9932537752224171,1.2026102171178101
0.9935967543512894,1.2173165170737346
0.993948098415084,1.2323814897059966
0.9943079081961493,1.2478094563721334
0.9946762844768339,1.263604738429696
0.9950533280394862,1.2797716572362354
0.9954391396664546,1.282501178178502
0.9958338201400876,1.285149068507063
0.9962374702427337,1.2878571356001238
0.9966501907567412,1.2906260556011053
0.9970720824644589,1.29345650465343
0.9975032461482349,1.2963491589005183
0.9979437825904178,1.2997721736733674
0.9983937925733561,1.3039814112000192
0.9988533768793983,1.308280203629071
0.9993226362908928,1.3126694936437053
0.9998016715901881,1.3171502239271062
1.0002905835596325,1.3217233371624562
1.0007894729815745,1.3263897760329368
1.001298440638363,1.331150483221736
1.0018175873123456,1.3360064014120305
1.0023470137858717,1.3404289860001557
1.002886820841289,1.343779182502866
1.0034371092609464,1.3471944293406313
1.0039979798271925,1.3506753519974455
1.0045695333223752,1.3542225759572952
1.0051518705288434,1.3578367267041744
1.0057450922289455,1.3615184297220742
1.0063492992050298,1.3652683104949837
1.0069645922394448,1.369086994506894
1.0075910721145391,1.3729751072417975
1.008228839612661,1.376933274183684
1.008877995516159,1.3810620267223508
1.0095386406073819,1.3860341635130944
1.0102108756686776,1.3910935285559949
1.0108948014823949,1.3962408803575934
1.0115905188308822,1.4014769774244316
1.0122981284964878,1.406802578263047
1.0130177312615605,1.4122184413799834
1.0137494279084485,1.4177253252817799
1.0144933192195005,1.4233239884749782
1.0152495059770645,1.4290151894661158
1.0160180889634893,1.4347996867617352
1.0167991689611235,1.440678238868378
1.0175928467523152,1.4466516042925819
1.0183992231194132,1.4503121067323348
1.0192183988447656,1.453519313122855
1.0200504747107213,1.456777025664987
1.0208955514996283,1.460085638938039
1.0217537299938355,1.4634455475213217
1.022625110975691,1.466857145994143
1.0235097952275434,1.4703208289358136
1.0244078835317412,1.4738369909256424
1.0253194766706328,1.4774060265429394
1.0262446754265668,1.4810283303670138
1.0271835805818916,1.484704296977175
1.0281362929189555,1.4884343209527318
1.029102913220107,1.4913949064421486
1.0300835422676948,1.4930384638104355
1.031078280844067,1.4947056690811111
1.0320872297315724,1.4963966911677642
1.0331104897125594,1.4981116989839833
1.0341481615693762,1.4998508614433563
1.0352003460843715,1.5016143474594723
1.0362671440398938,1.5034023259459197
1.0373486562182914,1.5052149658162866
1.038444983401913,1.507052435984162
1.0395562263731066,1.5089149053631339
1.040682485914221,1.5108025428667908
1.0418238628076046,1.517261245916936
1.0429804578356061,1.5299586555720244
1.0441523717805736,1.5428242403960188
1.0453397054248557,1.5558591068045045
1.0465425595508009,1.5690643612130686
1.0477610349407576,1.582441110037294
1.0489952323770741,1.5959904596927652
1.0502452526420993,1.60971351659507
1.0515111965181814,1.6236113871597906
1.0527931647876687,1.6376851778025123
1.0540912582329098,1.65193599493882
1.0554055776362534,1.6635052219904973
1.0567362237800475,1.6705429673361112
1.058083297446641,1.6776675973299546
1.059446899418382,1.6848796450066783
1.0608271304776193,1.6921796434009335
1.0622240914067014,1.6995681255473736
1.0636378829879762,1.7070456244806476
1.0650686060037926,1.7146126732354086
1.066516361236499,1.722269804846308
1.067981249468444,1.7305123599857204
1.0694633714819757,1.7490609362336504
1.0709628280594428,1.767826452435204
1.0724797199831937,1.7868101698691814
1.074014148035577,1.8060133498143824
1.075566212998941,1.825437253549608
1.0771360156556342,1.8450831423536576
1.078723656788005,1.864952277505329
1.080329237178402,1.8850459202834253
1.0819528576091735,1.8965214674405473
1.0835946188626682,1.9074041595150566
1.0852546217212344,1.9184077691532595
1.0869329669672205,1.9295329644079922
1.0886297553829751,1.9407804133320947
1.0903450877508467,1.952150783978405
1.0920790648531835,1.9636447443997593
1.0938317874723342,1.9737119346394978
1.095603356390647,1.983647041872538
1.0973938723904708,1.9936884059294688
1.0992034362541538,2.0038365920061625
1.1010321487640444,2.014092165298489
1.102880110702491,2.02445569100232
1.1047474228518424,2.039123741303173
1.1066341859944466,2.056690235850344
1.1085405009126525,2.074438764989848
1.1104664683888086,2.092370267044327
1.1124121892052627,2.1104856803364167
1.114377764144364,2.1287859431887632
1.1163632939884605,2.131423814048281
1.118368879519901,2.133568584077135
1.1203946215210336,2.135734909403136
1.122440620774207,2.1379228978027696
1.1245069780617696,2.140132657052521
1.12659379416607,2.1502025882417404
1.1287011698694565,2.161283846245851
1.1308292059542775,2.17247374316839
1.1329780032028816,2.1837728089553017
1.135147662397617,2.2030737233694513
1.1373382843208326,2.2346385209465285
1.1395499697548765,2.266506823865406
1.1407351701727828,2.283584445011717
1.1419203705906893,2.3006620661580315
1.1431055710085956,2.3177396873043428
1.1442907714265018,2.3309725560129633
1.145475971844408,2.3413024605039525
1.1466611722623146,2.351632364994944
1.1478463726802208,2.3619622694859332
1.149031573098127,2.3722921739769225
1.1502167735160336,2.382622078467914
1.1514019739339398,2.392951982958903
1.152587174351846,2.4032818874498925
1.1537723747697526,2.4120604106794996
1.1549575751876588,2.4169333667031196
1.156142775605565,2.42180632272674
1.1573279760234714,2.42667927875036
1.1585131764413779,2.4315522347739815
1.1596983768592841,2.4364251907976016
