model,r2_circumferential,r2_axial,mse_circumferential,mse_axial,loss,aic,bic
Base,0.9212964024076776,0.9229356521263276,21.076449726090754,5.392305910249109,26.468755636339864,9781.200624165982,10092.728228246731
Base + Tweak,0.9274135480443717,0.9214998402010073,19.43830717069205,5.492771785125547,24.931078955817597,9784.404229945492,10635.114225704461
