model,r2_circumferential,r2_axial,mse_circumferential,mse_axial,loss,aic,bic
"a: NeoHookean+4Fib (no rec, no disp)",0.7580865776156155,0.7459066278109447,5.063220279759151,9.154818851664219,0.4879976668582492,11590.034880512532,11895.954375920366
"b: Quad+4Fib (no rec, no disp)",0.7667664883304055,0.7842154676872177,4.679726107470045,6.921344244222192,0.4608731528646438,10713.25159284553,11031.917733895358
"c: Quad+4Fib (rec, no disp)",0.7734241079727617,0.8018008106658226,4.640389196103113,6.724733840279798,0.4439542330320595,10624.278396033362,10942.944537083189
"d: Quad+4Fib (no rec, disp)",0.7665551578060292,0.7851957979795303,4.674537397960607,6.943539892498946,0.46090345133719024,10723.594638608141,11055.007425299962
"e: Quad+4Fib (rec, disp)",0.8942863434362092,0.7925211841361947,1.9145868839197835,7.309684483299543,0.2450155748605494,9724.559415629841,10055.972202321662
f: Combined Eq (Quad+4Fib+rec+disp+cross),0.9480662308918785,0.9777697858775876,0.6899793265802209,0.1973539493788493,0.09411812210446191,-387.58496241963564,26.681020945139153
g: Combined Eq (Quad+4Fib+no rec+no disp+cross),0.8789422677713944,0.9470056102371194,2.4062277359427013,0.9089192208509085,0.21977680166506275,5315.513458712783,5717.032796435565
