age_weeks,animal,out_root,source_prefix,source_file,term_group,term,row_label,col_label,value_mpa,value_kpa
3,Rosie,runs_unified,Rosie_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runs_unified/Rosie_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.003608,3.608
8,Martini,runs_unified,Martini_variant_f,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runs_unified/Martini_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.015566,15.566
10,Gus,runs_unified,Gus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runs_unified/Gus_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.012678,12.678
10,Mojito,runs_unified_reduced,Mojito_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runs_unified_reduced/Mojito_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.013219,13.219
10,Pablo,runs_unified,Pablo_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runs_unified/Pablo_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.006051,6.051
16,Audi,runs_unified,Audi_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runs_unified/Audi_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.011252,11.252
16,Oreon,runs_unified,Orion_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runs_unified/Orion_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.014325,14.325
16,Sagittarius,runs_unified,Original_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runs_unified/Original_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.007119,7.119000000000001
28,Dodge,runs_unified,Dodge_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runs_unified/Dodge_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.020287,20.287
28,Lexus,runs_unified,lexus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runs_unified/lexus_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.014206,14.206
28,Mercedes,runs_unified,Mercedes_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runs_unified/Mercedes_variant_f_small_on_large.txt,C_out,C_thetazthetaz_pre,,,0.012911,12.911000000000001
3,Lucid,runs_unified,Lucid_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runs_unified/Lucid_variant_f_small_on_large.txt,C_out,C_zzzz,,,-0.344035,-344.03499999999997
3,Rosie,runs_unified,Rosie_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runs_unified/Rosie_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.065909,65.90899999999999
8,Martini,runs_unified,Martini_variant_f,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runs_unified/Martini_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.102882,102.882
10,Gus,runs_unified,Gus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runs_unified/Gus_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.111843,111.843
10,Mojito,runs_unified_reduced,Mojito_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runs_unified_reduced/Mojito_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.060408,60.408
10,Pablo,runs_unified,Pablo_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runs_unified/Pablo_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.1005,100.5
16,Audi,runs_unified,Audi_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runs_unified/Audi_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.064206,64.206
16,Oreon,runs_unified,Orion_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runs_unified/Orion_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.095712,95.712
16,Sagittarius,runs_unified,Original_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runs_unified/Original_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.034617,34.617000000000004
28,Dodge,runs_unified,Dodge_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runs_unified/Dodge_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.121529,121.529
28,Lexus,runs_unified,lexus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runs_unified/lexus_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.088485,88.485
28,Mercedes,runs_unified,Mercedes_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runs_unified/Mercedes_variant_f_small_on_large.txt,C_out,C_zzzz,,,0.083835,83.83500000000001
