sigma_theta_kPa,lambda_theta
0.0,0.47837737266699
0.105384844370629,0.5038133295857118
0.160389281281435,0.5289053244834545
0.161629825284833,0.5536533573602181
0.266079625067071,0.5780574282160027
0.267108632369386,0.6021175370508083
0.349353266532945,0.6258336838646348
0.349565768519887,0.6492058686574822
0.484961648480576,0.6722340914293505
0.521053923526382,0.6949183521802399
0.528017456496229,0.7172586509101502
0.606776287849853,0.7392549876190813
0.61663408304619,0.7609073623070335
0.668150809616341,0.7822157749740066
0.680214469146747,0.8031802256200006
0.780972632010129,0.8238007142449929
0.854276564498611,0.8378398041044319
0.931335029828364,0.8562154151227604
1.03155366272485,0.8758709764737929
1.16442967807028,0.8915248795786783
1.22727360599276,0.9092543278914111
1.28933578422409,0.9264310410800805
1.32723727885508,0.9462956262978937
1.40153051414685,0.9654119993814376
1.43166836280819,0.987065996329078
1.53975623581263,1.0090570745337544
1.62475538371716,1.0303219684207578
1.63590246717305,1.0531773978668424
1.72239934339642,1.0762636014072102
2.00290253650847,1.0985694950285056
2.12470873099844,1.1206823609201202
2.15571891456233,1.1430095183460518
2.28489381457976,1.1652348949946436
2.43406566810828,1.187509758502055
2.87914394634031,1.2103395855738395
2.9789396496504,1.2340241920890445
3.13633003429559,1.2571277480020255
3.2847620083614,1.2804588173773606
3.44553080655887,1.303074026978254
3.44799612625446,1.3247796285711277
3.60581607359015,1.3452529111901126
3.73058288938109,1.3651436559282237
4.03275967054754,1.3844669258626248
4.10669367162436,1.4013392513272935
4.20272299145702,1.4166725140662524
4.46979547205938,1.4324870560510699
4.59182916485698,1.4471435384935287
4.67402922189232,1.459769811019008
4.9622786094564,1.4711536778933805
5.0646188371397,1.4801877305018791
5.27022934418175,1.4907953695468668
5.74731680493725,1.501120096477733
6.01807630590718,1.5114468755471413
6.34506455745123,1.5201760235536828
6.5219074358229,1.5287461617331628
6.76387278172588,1.5357306082523652
6.78775845387033,1.5426554031803486
6.79265683625972,1.54960341181071
7.79646443221915,1.55572250115649
8.35830112612308,1.5604574120810106
8.78661816772528,1.56564304366363
8.90511286897603,1.5696338882103056
9.65948667747359,1.573165015229595
9.77016976221962,1.5765559856592568
10.4070018245154,1.579868431804095
11.4111921329839,1.5826443422267178
11.6736594743187,1.5844985987294709
12.1153170346107,1.5866007426788282
12.1836220197256,1.588646173605707
12.3446153549752,1.59005096922748
12.3700578894029,1.5918148197033894
12.4773287937654,1.5931074401576473
12.5650036779404,1.5940015254468594
12.581426953879,1.5943537601964746
12.6144842514382,1.5946212606451144
12.6769155677876,1.595001812792506
12.7104750627356,1.59522847829638
12.7458407577362,1.5954551438002538
12.7518742918227,1.5956818093041276
12.7733037254319,1.5959084748080015
12.8161166326124,1.5961351403118753
12.8208976534366,1.5963618058157492
12.9726399111135,1.596588471319623
12.9884186233734,1.5968151368234969
12.9968803505619,1.5970418023273707
13.0224982034336,1.5972684678312445
13.1095600203109,1.5974951333351184
13.1297172229021,1.5977217988389922
13.155810203257,1.597948464342866
13.2198134241699,1.59817512984674
13.3251156878297,1.5984017953506138
13.3314630041685,1.5986284608544876
13.3687499016125,1.5988551263583615
13.371241669952,1.5990817918622353
13.4113327310911,1.5993084573661092
13.4263649652854,1.599535122869983
13.443468136488,1.5997617883738569
13.6399065491036,1.5999884538777307
13.6659443594857,1.6002151193816045
13.6858553607042,1.6004417848854784
13.8503363794346,1.6006684503893522
14.1370757274625,1.600895115893226
14.259802605328,1.6011217813971
14.2757322169201,1.6013484469009738
14.3293071060968,1.6015751124048476
14.4959234908232,1.6018017779087215
14.5861250645216,1.6020284434125953
14.5942684508417,1.6022551089164692
14.654014874711,1.602481774420343
14.8741201561399,1.6027084399242169
15.0471384804068,1.6029351054280907
15.1945537341383,1.6031617709319645
15.3741567687663,1.6033884364358384
15.3913133670137,1.6036151019397122
15.4173769899761,1.603841767443586
15.5914429235512,1.60406843294746
15.7116876127793,1.6042950984513338
16.0647378494778,1.6045217639552076
16.0826134934657,1.6047484294590815
16.1937707022339,1.6049750949629553
16.2438956605364,1.6052017604668292
16.277038982569,1.605428425970703
16.4688047844952,1.6056550914745769
16.7334948044924,1.6058817569784507
16.7459028392294,1.6061084224823245
16.7998582109742,1.6063350879861984
16.8443767174379,1.6065617534900722
17.125769494532,1.606788418993946
17.1923477571161,1.60701508449782
17.2051077790151,1.6072417500016938
17.3119294777375,1.6074684155055676
17.4147216652117,1.6076950810094415
17.4890562200853,1.6079217465133153
17.9100734617821,1.6081484120171892
18.0281771458406,1.608375077521063
18.1269437173215,1.6086017430249369
18.1703639793326,1.6088284085288107
18.1812228706229,1.6090550740326846
18.187179355408,1.6092817395365584
18.2047855309699,1.6095084050404322
18.4210725482223,1.609735070544306
18.7408376752151,1.60996173604818
18.9320830131057,1.6101884015520538
18.9956593566808,1.6104150670559276
19.0555429932959,1.6106417325598015
19.2015549688712,1.6108683980636753
19.2055504809128,1.6110950635675492
19.2446421807578,1.611321729071423
19.2561457127859,1.6115483945752969
19.4251096538278,1.6117750600791707
19.632045389685,1.6120017255830446
19.668564368049,1.6122283910869184
19.7037441627815,1.6124550565907922
19.7156809113137,1.612681722094666
19.7487003574359,1.61290838759854
19.8723158097403,1.6131350531024138
19.906990666063,1.6133617186062876
19.9549577083715,1.6135883841101615
20.1010682806586,1.6138150496140353
20.1089844287833,1.6140417151179092
20.5064920623213,1.614268380621783
20.5330377678971,1.6144950461256569
20.6176346985726,1.6147217116295307
20.6672456415575,1.6149483771334046
20.7836546187422,1.6151750426372784
21.0636653872537,1.6154017081411522
21.0836317868993,1.615628373645026
21.1977271814501,1.6158550391489
21.3314275401015,1.6160817046527738
21.3763211240028,1.6163083701566476
21.4317990450214,1.6165350356605215
21.4943514853249,1.6167617011643953
21.5947499863548,1.6169883666682692
21.6765042133334,1.617215032172143
21.7651061929119,1.6174416976760169
21.8416020131401,1.6176683631798907
21.9716470882849,1.6178950286837646
22.0284293011973,1.6181216941876384
22.4123912962781,1.6183483596915123
22.6125069115762,1.618575025195386
22.6830927920735,1.61880169069926
22.7046057344634,1.6190283562031338
22.7548346258855,1.6192550217070076
22.791281707853,1.6194816872108815
22.8283051532055,1.6197083527147553
22.8475131374823,1.6199350182186292
23.1640890287458,1.620161683722503
23.24861838249,1.6203883492263769
23.2831370885854,1.6206150147302507
23.2907636525372,1.6208416802341246
