lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.46354367392556,2.95629383247728,1.201,1.98660644447415,0.859914,13.129,54.045,37.68695595,107.548689047386
1.46354367392556,2.95629383247728,1.201,1.98660644447415,0.859914,13.129,54.045,37.68695595,107.548689047386
1.46354367392556,2.95629383247728,1.201,1.89856976293973,0.859914,13.129,54.045,32.92092405,102.782657147386
1.47360662561844,2.96949782564345,1.201,1.90689943978812,0.85031496,13.199,54.045,32.92092405,103.233599923558
1.47360662561844,2.96949782564345,1.201,2.07011147695379,0.85031496,13.199,54.045,41.7567157,112.069391573558
1.47145194987189,3.11549169353941,1.201,2.13339425438449,0.89511048,13.184,54.045,41.7567157,115.495324158686
1.47180327719665,3.12312964028962,1.203,2.10124090546951,0.89511048,13.184,54.135,39.74635245,113.565523660325
1.47180327719665,3.03195695493115,1.203,2.06136842643899,0.86897976,13.184,54.135,39.74635245,111.410540407834
1.47717635668771,3.06311807298219,1.205,2.3870836311107,0.86897976,13.219,54.225,56.4274641,128.800300482773
1.47717635668771,3.00672436804849,1.205,2.36238952886897,0.85298136,13.219,54.225,56.4274641,127.467876370172
1.47430660549612,2.99339772279689,1.205,2.74658924793186,0.85298136,13.199,54.225,77.5117616,148.198209658777
1.47465457290316,3.08135986967818,1.207,2.78787867500022,0.8759124,13.199,54.315,77.5117616,150.176814571736
1.47465457290316,3.08135986967818,1.207,2.83466562993027,0.8759124,13.199,54.315,80.03207065,152.697123621736
1.46997835226804,3.16656574150675,1.209,2.87350119467967,0.90497616,13.164,54.405,80.03207065,154.533047605518
1.46997835226804,3.16656574150675,1.209,2.67346097831556,0.90497616,13.164,54.405,69.2741756,143.775152555518
1.47457086327932,3.09900678854067,1.209,2.64510980508125,0.87937872,13.196,54.405,69.2741756,142.25046441159
1.47457086327932,3.09900678854067,1.209,2.57928070926772,0.87937872,13.196,54.405,65.73397495,138.71026376159
1.47457086327932,3.06752809617678,1.209,2.56549700515253,0.87044628,13.196,54.405,65.73397495,137.968994605984
1.46845885752472,3.04429742179512,1.211,2.82038413821186,0.87044628,13.151,54.495,79.9241975,151.425985506219
1.46845885752472,3.23780078066247,1.211,2.90503398666752,0.92577408,13.151,54.495,79.9241975,155.970822697608
1.46386196601454,3.2146676386952,1.211,2.98753353095088,0.92577408,13.119,54.495,84.9648156,160.400210392592
1.46420941444835,3.07073972825896,1.213,2.92765130096273,0.88217844,13.119,54.585,84.9648156,156.925975193593
1.46420941444835,3.07073972825896,1.213,2.74890389341291,0.88217844,13.119,54.585,75.38371855,147.344878143593
1.46828855160607,2.91460793671528,1.215,2.68427723007968,0.83045028,13.145,54.675,75.38371855,143.643962831424
1.46828855160607,2.91460793671528,1.215,2.73320685949202,0.83045028,13.145,54.675,78.0020941,146.262338381424
1.46570444246286,3.07672658903674,1.215,2.80348119718071,0.88017864,13.127,54.675,78.0020941,150.022935177403
1.46604888842857,3.0841714313265,1.217,2.84717436759114,0.88017864,13.127,54.765,80.01245735,152.110703648038
1.46604888842857,3.05333906015601,1.217,2.83368326618948,0.87137952,13.127,54.765,80.01245735,151.389939598406
1.46725301558094,3.06481602555202,1.219,2.98759504482469,0.87137952,13.133,54.855,87.7891308,159.350823887758
1.46725301558094,3.05825124214356,1.219,2.98472119535448,0.86951304,13.133,54.855,87.7891308,159.197539967435
1.46294659588919,3.0377772237884,1.219,3.03660464711205,0.86951304,13.103,54.855,91.09397185,161.964873109867
1.46328945575681,3.04743958434161,1.221,3.04403478579894,0.87017964,13.103,54.945,91.09397185,162.095230189771
1.46328945575681,3.04743958434161,1.221,2.82119875124308,0.87017964,13.103,54.945,79.22792535,150.229183689771
1.4670743716828,2.90699415659669,1.223,2.76341761284694,0.82365096,13.127,55.035,79.22792535,146.911689310262
1.4670743716828,2.90699415659669,1.223,2.33435511710846,0.82365096,13.127,55.035,56.41765745,124.101421410262
1.46592684028732,3.06103246306648,1.223,2.40151966861374,0.86884644,13.119,55.035,56.41765745,127.672093348349
1.46626641585366,3.06837091235715,1.225,3.05853508313667,0.86884644,13.119,55.125,91.005712,162.335560993253
1.46626641585366,3.0316465098462,1.225,3.04245019715987,0.85844748,13.119,55.125,91.005712,161.481835625526
1.46402336208172,3.02669904796495,1.227,3.06335638880815,0.85844748,13.101,55.215,92.09425015,162.326435048835
1.46402336208172,2.99896566641038,1.227,3.05121193352107,0.8505816,13.101,55.215,92.09425015,161.68290361398
1.45856960654846,2.97350121806025,1.227,2.93355953430253,0.8505816,13.063,55.215,86.52407295,155.448534472386
1.45890900327132,3.08994647918973,1.229,2.98756268607479,0.88177848,13.063,55.305,86.52407295,158.052522705437
1.45890900327132,3.08994647918973,1.229,2.88783435628116,0.88177848,13.063,55.305,81.24809525,152.776545005437
1.45809890370488,3.06091365333396,1.231,2.87772823930185,0.87297936,13.055,55.395,81.24809525,151.994549341772
1.45809890370488,3.06091365333396,1.231,3.100718270102,0.87297936,13.055,55.395,93.0258819,163.772335991772
1.45450906894198,3.08182980673101,1.231,3.10892068495806,0.8839116,13.03,55.395,93.0258819,164.205567431953
1.45484731915155,3.08919667121047,1.233,3.28984951777509,0.8839116,13.03,55.485,102.2245196,173.47993269617
1.45484731915155,2.84877050494432,1.233,3.18468219371351,0.81511848,13.03,55.485,102.2245196,167.934262536649
1.45360490800061,2.84848414067075,1.235,2.74416825517057,0.81511848,13.019,55.575,78.87488595,144.470796404293
1.45360490800061,2.84848414067075,1.235,2.74416825517057,0.81511848,13.019,55.575,78.87488595,144.470796404293
1.45288684256007,3.24688175797368,1.235,2.91823241887498,0.93017364,13.014,55.575,78.87488595,153.634661742521
1.4532232338206,3.2546149125526,1.237,3.08715829385469,0.93017364,13.014,55.665,87.42628475,162.265236560306
1.4532232338206,2.90382368219004,1.237,2.93369298243748,0.829917,13.014,55.665,87.42628475,154.198891173843
1.45298417792569,2.90809598075753,1.239,3.13377145072363,0.829917,13.01,55.755,97.674234,164.449403209299
1.45298417792569,3.1622332038149,1.239,3.24497267255336,0.90244308,13.01,55.755,97.674234,170.284855747429
1.45614139175094,3.17795373849588,1.239,3.29457133690546,0.90244308,13.032,55.755,99.8709236,172.887620780213
1.45614139175094,3.0798310717289,1.239,3.25160988261432,0.8745792,13.032,55.755,99.8709236,170.633153397931
1.45614139175094,3.0798310717289,1.239,2.97521890147912,0.8745792,13.032,55.755,85.36688825,156.129118047931
1.44915467710882,2.93920298190857,1.241,2.9148042664984,0.84231576,12.981,55.845,85.36688825,152.712259681054
1.44915467710882,2.93920298190857,1.241,2.89571205044046,0.84231576,12.981,55.845,84.36660995,151.711981381054
1.44944192770163,3.00848688256856,1.241,2.92608700323672,0.86178048,12.983,55.845,84.36660995,153.303384183821
