age,animal,bucket,name,idx,gate,eff_w_norm,coeff_raw,sigma,source,kind
28weeks,Lexus,iso,<E_θ>,2.0,0.54049,0.62773,1.1852,0.52966,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_final_equation.txt,cross
28weeks,Lexus,iso,<E_z>,3.0,0.001979,0.0012579,0.015204,0.082734,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_final_equation.txt,cross
28weeks,Lexus,aniso,<I₄θ-1>,5.0,0.28787,0.28886,0.27265,1.0595,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_final_equation.txt,cross
28weeks,Lexus,aniso,<I₄D1-1>,7.0,0.037693,0.03032,0.12874,0.23552,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_final_equation.txt,cross
28weeks,Lexus,aniso,<I₄D2-1>,8.0,0.032343,0.025462,0.10811,0.23552,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_final_equation.txt,cross
28weeks,Lexus,cross,<I₄z-1>·<E_z>,30.0,0.0018446,0.0011831,0.0093102,0.12708,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_final_equation.txt,cross
28weeks,Lexus,cross,I₈D1D2,42.0,0.0012937,0.001052,0.0046148,0.22797,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_final_equation.txt,cross
28weeks,Mercedes,aniso,<I₄D1-1>,7.0,0.19744,0.209,1.1643,0.1795,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_final_equation.txt,cross
28weeks,Mercedes,aniso,<I₄D2-1>,8.0,0.17782,0.18514,1.0314,0.1795,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_final_equation.txt,cross
28weeks,Mercedes,cross,<I₂-3>·<E_z>,35.0,0.016849,0.011572,0.062301,0.18574,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_final_equation.txt,cross
28weeks,Mercedes,cross,I₈D1D2,42.0,0.30421,0.40571,2.5372,0.15991,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_final_equation.txt,cross
3weeks,Lucid,iso,<E_z>,3.0,0.12598,0.10776,0.4301,0.25054,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_final_equation.txt,cross
3weeks,Lucid,aniso,<I₄z-1>,6.0,0.10239,0.083373,0.16608,0.50199,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_final_equation.txt,cross
3weeks,Lucid,aniso,exp(<I₄z-1>)-1,22.0,0.10356,0.098687,0.016099,6.1301,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_final_equation.txt,cross
3weeks,Lucid,cross,I₈D1D2,42.0,0.22762,0.23372,0.48855,0.4784,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_final_equation.txt,cross
3weeks,Rosie,iso,I₁-3,0.0,0.00037173,0.00023225,0.0034977,0.066401,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
3weeks,Rosie,iso,I₂-3,1.0,0.00036641,0.00022872,0.0027677,0.082638,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
3weeks,Rosie,iso,<E_θ>,2.0,0.00040103,0.00025202,0.0027694,0.091001,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
3weeks,Rosie,iso,<I₂-3>ln(1+<I₂-3>),4.0,0.00040621,0.00025547,0.0111,0.023016,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
3weeks,Rosie,aniso,(<I₄θ-1>)³,13.0,0.00043512,0.00027493,0.0079588,0.034544,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
