name,n_loo_folds_present,mean_rank,std_rank,best_rank,worst_rank,freq_in_topK,mean_ST
b_θz <E_θ><E_z>,12,2.0833333333333335,0.2763853991962833,2,3,1.0,0.04187265946108947
(<I₄θ-1>)³,12,2.1666666666666665,3.8693955887479667,1,15,1.0,0.9167141595594345
I₈D1D2,12,2.75,0.5951190357119042,1,3,1.0,0.06619732822357204
<E_θ>,12,4.083333333333333,0.27638539919628335,4,5,1.0,0.002796607931629415
<I₄D1-1>,12,4.833333333333333,0.5527707983925666,3,5,1.0,0.00525992721412162
<I₄D2-1>,12,5.833333333333333,0.5527707983925666,4,6,1.0,0.004378613933308681
<I₄θ-1>,12,7.416666666666667,0.9537935951882995,7,10,1.0,0.0006046508892115699
<I₄z-1>,12,7.833333333333333,0.372677996249965,7,8,1.0,0.001625825606952694
<E_z>,12,9.083333333333334,0.6400954789890507,8,11,1.0,0.00024637470662059266
I₂-3,12,9.916666666666666,0.8620067027323834,8,12,1.0,0.0008596809008428159
b_z E_z²,12,10.583333333333334,1.4409680388158819,6,12,1.0,0.002579919574824404
<I₂-3>ln(1+<I₂-3>),12,12.0,1.0801234497346435,10,15,1.0,0.0005749418507588085
b_th E_θ²,12,12.75,0.5951190357119042,11,13,1.0,0.00010438627777046378
<I₂-3>·<E_z>,12,14.0,0.408248290463863,13,15,1.0,4.560113730487925e-05
exp(<I₄z-1>)-1,12,15.166666666666666,1.863389981249825,13,21,0.9166666666666666,7.307284443232568e-05
<I₁-3>·<E_θ>,11,16.09090909090909,0.6680426571226848,15,18,0.09090909090909091,3.0718592050790925e-06
I₁-3,12,17.25,1.0897247358851685,16,20,0.0,2.6461790713676087e-06
(<I₄D2-1>)³,12,18.083333333333332,0.759202798262025,17,19,0.0,4.198600451488677e-06
(<I₄D1-1>)³,11,18.09090909090909,0.899954085146515,16,19,0.0,4.596025828027411e-06
(<I₄z-1>)³,11,19.818181818181817,0.385694607919935,19,20,0.0,2.8065518436465617e-06
<I₄z-1>·<I₄D2-1>,11,20.90909090909091,0.28747978728803447,20,21,0.0,3.11755453026323e-07
<I₄z-1>·<E_z>,12,21.666666666666668,1.1055415967851334,18,22,0.0,1.7942017894763546e-07
<I₁-3>·<E_z>,11,22.636363636363637,1.1499191491521379,19,23,0.0,1.7339043557885894e-08
