term_idx,term_name,w
0,I₁-3,0.09315855866
1,I₂-3,0.4975219647
4,<I₂-3>ln(1+<I₂-3>),0.0846823927
5,<I₄θ-1>,0.004585167195
6,<I₄z-1>,0.04293251094
7,<I₄D1-1>,0.005157838656
8,<I₄D2-1>,0.005157838656
13,(<I₄θ-1>)³,0.1949465175
35,<I₂-3>·<E_z>,0.005557001385
42,I₈D1D2,0.09262305978
