lambda_theta,sigma_theta_kpa
0.5911543421711292,-0.0540338597479993
0.5924915400039996,-0.0423321584946318
0.5931031604049252,-0.03808732131227606
0.5939604688389934,-0.0321373322141799
0.5950519786387213,-0.02481538617947619
0.5955468157096839,-0.0214959745439024
0.5970007968725173,0.02349647572491213
0.5972362676496443,0.0307829574899183
0.5989496151063134,0.03551865708967539
0.5990145116924483,0.0356980315275856
0.6008672348716697,0.0427848534593256
0.6008984333401094,0.043187479482354005
0.6027801242208808,0.0674712906366883
0.6028472515739055,0.06813422671066373
0.6047388667736557,0.086815433364721
0.6047960698077015,0.08724848933883517
0.6067291495635678,0.10188288331254
0.6067448880414976,0.10191880954858613
0.6086937062752936,0.1063673784756889
0.6087366596241819,0.106465428119245
0.6106425245090897,0.1263291704501746
0.610868962970081,0.1286892093378
0.6125913427428857,0.13498624836550982
0.6129181404061841,0.13618102414751
0.6142960207332333,0.158276391897123
0.6145401609766818,0.15953886342156975
0.616045771215473,0.167324511647934
0.6164889792104778,0.17208815921735307
0.6180692758688426,0.189073358989072
0.618437797444274,0.19075688037308208
0.6196360146931892,0.196230710117996
0.62038661567807,0.21734850116656737
0.620875046508798,0.231090263344821
0.6223354339118661,0.24226286123359775
0.6223770278182288,0.242581072681764
0.623459983004325,0.261229299997198
0.6242842521456621,0.2734459887563289
0.6254279280744122,0.290396681390759
0.6262330703794582,0.31297623033481636
0.6264385495082059,0.318738722276257
0.6281167818299114,0.40809517434964
0.6281818886132542,0.4092897305147971
0.6301307068470503,0.4450459561555874
0.6305279864065807,0.452335100585118
0.6320795250808463,0.4605150850323253
0.6340283433146424,0.4707895971068837
0.6345540819449327,0.473561383521493
0.6359771615484384,0.47632207624087003
0.6379259797822345,0.4801026717157657
0.6398747980160305,0.48388326719066116
0.6405577521781134,0.485208159050741
0.6418236162498266,0.49876566585161425
0.6437724344836226,0.5196376670788836
0.6457212527174188,0.540509668306154
0.6467415481684653,0.551437115277409
0.6476700709512148,0.5538725367122697
0.6496188891850109,0.5589840900175965
0.6515677074188069,0.5640956433229231
0.653516525652603,0.5692071966282499
