param,kind,n,n_ages,best_model,r2_age,aic_age,coeffs,per_age_json
base.aniso._kappa[1.0],base_param,12,5,linear,0.3328560271537312,19.416012717019747,"[0.15329214271384498, -4.373935469881394]","[{""age_weeks"":3,""mean"":-2.8182097025,""std"":2.1508865181,""count"":2},{""age_weeks"":8,""mean"":-7.186922109,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-3.247992747,""std"":1.2126809863,""count"":3},{""age_weeks"":16,""mean"":-0.5887373341,""std"":0.9307145126,""count"":3},{""age_weeks"":28,""mean"":-0.3914255879,""std"":2.1485220111,""count"":3}]"
base.aniso._lam0_raw[0.0],base_param,12,5,constant,,-824.7706548957062,[-2.0000000000000004],"[{""age_weeks"":3,""mean"":-2.0,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":-2.0,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":-2.0,""std"":0.0,""count"":3}]"
base.aniso._lam0_raw[1.0],base_param,12,5,constant,,-824.7706548957062,[-2.0000000000000004],"[{""age_weeks"":3,""mean"":-2.0,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":-2.0,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":-2.0,""std"":0.0,""count"":3}]"
base.aniso._lam0_raw[2.0],base_param,12,5,constant,,-824.7706548957062,[-2.0000000000000004],"[{""age_weeks"":3,""mean"":-2.0,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":-2.0,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":-2.0,""std"":0.0,""count"":3}]"
base.aniso._lam0_raw[3.0],base_param,12,5,constant,,-824.7706548957062,[-2.0000000000000004],"[{""age_weeks"":3,""mean"":-2.0,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":-2.0,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":-2.0,""std"":0.0,""count"":3}]"
base.aniso._lam0h_raw[0.0],base_param,12,5,constant,0.0,-824.7706548957062,[-2.8000000000000003],"[{""age_weeks"":3,""mean"":-2.8,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":-2.8,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.8,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":-2.8,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":-2.8,""std"":0.0,""count"":3}]"
base.aniso._lam0h_raw[1.0],base_param,12,5,constant,0.0,-824.7706548957062,[-2.8000000000000003],"[{""age_weeks"":3,""mean"":-2.8,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":-2.8,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.8,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":-2.8,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":-2.8,""std"":0.0,""count"":3}]"
base.aniso._lambda_lb_raw[0.0],base_param,12,5,linear,0.23586862385842344,-29.608381613071593,"[-0.0156360315660391, -0.6055606243314263]","[{""age_weeks"":3,""mean"":-0.8301530149,""std"":0.0160344419,""count"":2},{""age_weeks"":8,""mean"":-0.5679139526,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.4670206251,""std"":0.0766039218,""count"":3},{""age_weeks"":16,""mean"":-1.1417121487,""std"":0.1059470151,""count"":3},{""age_weeks"":28,""mean"":-0.9880835813,""std"":0.2118122769,""count"":3}]"
base.aniso._lambda_lb_raw[1.0],base_param,12,5,linear,0.23586862385842344,-29.608381613071593,"[-0.0156360315660391, -0.6055606243314263]","[{""age_weeks"":3,""mean"":-0.8301530149,""std"":0.0160344419,""count"":2},{""age_weeks"":8,""mean"":-0.5679139526,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.4670206251,""std"":0.0766039218,""count"":3},{""age_weeks"":16,""mean"":-1.1417121487,""std"":0.1059470151,""count"":3},{""age_weeks"":28,""mean"":-0.9880835813,""std"":0.2118122769,""count"":3}]"
base.aniso._lambda_lb_raw[2.0],base_param,12,5,constant,4.440892098500626e-16,-21.760155707327925,[-0.6821220570433334],"[{""age_weeks"":3,""mean"":-0.5451285808,""std"":0.4102994047,""count"":2},{""age_weeks"":8,""mean"":-0.398056924,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.6777869675,""std"":0.2546466888,""count"":3},{""age_weeks"":16,""mean"":-0.9077512095,""std"":0.4051989477,""count"":3},{""age_weeks"":28,""mean"":-0.6468453559,""std"":0.6146782969,""count"":3}]"
base.aniso._lambda_lb_raw[3.0],base_param,12,5,quadratic,0.3775046217440168,-29.260346775408003,"[0.0020174506498706222, -0.08015260424984477, -0.3456751611203539]","[{""age_weeks"":3,""mean"":-0.495753435,""std"":0.7490344967,""count"":2},{""age_weeks"":8,""mean"":-1.025782982,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-1.0073820688,""std"":0.0253444772,""count"":3},{""age_weeks"":16,""mean"":-1.0257341113,""std"":0.0004280426,""count"":3},{""age_weeks"":28,""mean"":-1.0244032377,""std"":0.001308991,""count"":3}]"
base.aniso._lambda_ub_raw[0.0],base_param,12,5,constant,0.0,14.676255604262412,[0.5798031325166666],"[{""age_weeks"":3,""mean"":-1.1900672025,""std"":3.3359224692,""count"":2},{""age_weeks"":8,""mean"":2.858841272,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.3419454338,""std"":0.6546802048,""count"":3},{""age_weeks"":16,""mean"":1.4548797237,""std"":0.1647208094,""count"":3},{""age_weeks"":28,""mean"":1.0467092845,""std"":1.6600486335,""count"":3}]"
base.aniso._lambda_ub_raw[1.0],base_param,12,5,constant,0.0,14.676255604262412,[0.5798031325166666],"[{""age_weeks"":3,""mean"":-1.1900672025,""std"":3.3359224692,""count"":2},{""age_weeks"":8,""mean"":2.858841272,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.3419454338,""std"":0.6546802048,""count"":3},{""age_weeks"":16,""mean"":1.4548797237,""std"":0.1647208094,""count"":3},{""age_weeks"":28,""mean"":1.0467092845,""std"":1.6600486335,""count"":3}]"
base.aniso._lambda_ub_raw[2.0],base_param,12,5,constant,0.0,4.448257998172645,[1.7838028270750002],"[{""age_weeks"":3,""mean"":2.1993173475,""std"":0.9545332324,""count"":2},{""age_weeks"":8,""mean"":1.649102313,""std"":null,""count"":1},{""age_weeks"":10,""mean"":1.1126941205,""std"":0.7755311117,""count"":3},{""age_weeks"":16,""mean"":2.416673844,""std"":1.3687227431,""count"":3},{""age_weeks"":28,""mean"":1.5899310078,""std"":1.7067680073,""count"":3}]"
base.aniso._lambda_ub_raw[3.0],base_param,12,5,constant,-2.220446049250313e-16,20.011647253478937,[1.409377476641667],"[{""age_weeks"":3,""mean"":1.210790438,""std"":2.1703517854,""count"":2},{""age_weeks"":8,""mean"":1.853777627,""std"":null,""count"":1},{""age_weeks"":10,""mean"":2.6490380588,""std"":3.865432671,""count"":3},{""age_weeks"":16,""mean"":1.1203711437,""std"":0.4613266871,""count"":3},{""age_weeks"":28,""mean"":0.442981203,""std"":2.3317700508,""count"":3}]"
base.aniso._logn_mu_raw[0.0],base_param,12,5,quadratic,0.6571938115906112,-3.7793580900680848,"[0.00976824823194655, -0.39694056729575616, -0.1949885852853163]","[{""age_weeks"":3,""mean"":-1.1212968686,""std"":0.5443087786,""count"":2},{""age_weeks"":8,""mean"":-4.27566244,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.7861457233,""std"":0.9335810563,""count"":3},{""age_weeks"":16,""mean"":-4.0426021033,""std"":0.4302750782,""count"":3},{""age_weeks"":28,""mean"":-3.662832634,""std"":0.0841237165,""count"":3}]"
base.aniso._logn_mu_raw[1.0],base_param,12,5,quadratic,0.6571938115906112,-3.7793580900680848,"[0.00976824823194655, -0.39694056729575616, -0.1949885852853163]","[{""age_weeks"":3,""mean"":-1.1212968686,""std"":0.5443087786,""count"":2},{""age_weeks"":8,""mean"":-4.27566244,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.7861457233,""std"":0.9335810563,""count"":3},{""age_weeks"":16,""mean"":-4.0426021033,""std"":0.4302750782,""count"":3},{""age_weeks"":28,""mean"":-3.662832634,""std"":0.0841237165,""count"":3}]"
base.aniso._logn_mu_raw[2.0],base_param,12,5,constant,0.0,6.309774388232238,[-3.660684786916667],"[{""age_weeks"":3,""mean"":-3.516875073,""std"":0.2432053342,""count"":2},{""age_weeks"":8,""mean"":-4.984526756,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-3.540906259,""std"":1.8953967774,""count"":3},{""age_weeks"":16,""mean"":-3.8302116753,""std"":1.2516075333,""count"":3},{""age_weeks"":28,""mean"":-3.2655289127,""std"":1.4860063398,""count"":3}]"
base.aniso._logn_mu_raw[3.0],base_param,12,5,quadratic,0.3898386465952367,-2.0760070132914716,"[0.00859803582563058, -0.2890518855956046, -1.4276540398776607]","[{""age_weeks"":3,""mean"":-2.23313647,""std"":1.6599196433,""count"":2},{""age_weeks"":8,""mean"":-3.299147006,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-3.3728530783,""std"":1.0373744514,""count"":3},{""age_weeks"":16,""mean"":-3.897091994,""std"":0.380438906,""count"":3},{""age_weeks"":28,""mean"":-2.773134573,""std"":0.664907548,""count"":3}]"
base.aniso._logn_sig_raw[0.0],base_param,12,5,constant,1.1102230246251565e-16,20.331038370666995,[-4.715130730000001],"[{""age_weeks"":3,""mean"":-5.4794977825,""std"":2.1905597778,""count"":2},{""age_weeks"":8,""mean"":-4.014634465,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-5.1552074043,""std"":2.2494071225,""count"":3},{""age_weeks"":16,""mean"":-3.482953746,""std"":1.3653731937,""count"":3},{""age_weeks"":28,""mean"":-5.2311517597,""std"":3.8107744256,""count"":3}]"
base.aniso._logn_sig_raw[1.0],base_param,12,5,constant,1.1102230246251565e-16,20.331038370666995,[-4.715130730000001],"[{""age_weeks"":3,""mean"":-5.4794977825,""std"":2.1905597778,""count"":2},{""age_weeks"":8,""mean"":-4.014634465,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-5.1552074043,""std"":2.2494071225,""count"":3},{""age_weeks"":16,""mean"":-3.482953746,""std"":1.3653731937,""count"":3},{""age_weeks"":28,""mean"":-5.2311517597,""std"":3.8107744256,""count"":3}]"
