animal,age_weeks,param,index,value,kind
Mojito,10,base.iso.bthz,,1.270570016,base_param
Mojito,10,base.aniso._α,,1.194706751,base_param
Mojito,10,base.aniso._k1,0.0,-0.5363146213,base_param
Mojito,10,base.aniso._k1,1.0,-0.5363146213,base_param
Mojito,10,base.aniso._k1,2.0,-6.530027244,base_param
Mojito,10,base.aniso._k1,3.0,-2.910007841,base_param
Mojito,10,base.aniso._k2,0.0,14.99214792,base_param
Mojito,10,base.aniso._k2,1.0,14.99214792,base_param
Mojito,10,base.aniso._k2,2.0,4.566783855,base_param
Mojito,10,base.aniso._k2,3.0,0.8369342093,base_param
Mojito,10,base.aniso._lam0_raw,0.0,-2.0,base_param
Mojito,10,base.aniso._lam0_raw,1.0,-2.0,base_param
Mojito,10,base.aniso._lam0_raw,2.0,-2.0,base_param
Mojito,10,base.aniso._lam0_raw,3.0,-2.0,base_param
Mojito,10,base.aniso._lam0h_raw,0.0,-2.8,base_param
Mojito,10,base.aniso._lam0h_raw,1.0,-2.8,base_param
Mojito,10,base.aniso._kappa,0.0,-4.042480337,base_param
Mojito,10,base.aniso._kappa,1.0,-4.042480337,base_param
Mojito,10,base.aniso._tau_raw,0.0,-1.924682973,base_param
Mojito,10,base.aniso._tau_raw,1.0,-1.924682973,base_param
Mojito,10,base.aniso._tau_raw,2.0,1.736283691,base_param
Mojito,10,base.aniso._tau_raw,3.0,1.454134689,base_param
Mojito,10,base.aniso._sigma_s_raw,0.0,-2.0,base_param
Mojito,10,base.aniso._sigma_s_raw,1.0,-2.0,base_param
Mojito,10,base.aniso._sigma_s_raw,2.0,-2.0,base_param
Mojito,10,base.aniso._sigma_s_raw,3.0,-2.0,base_param
Mojito,10,base.aniso._lambda_lb_raw,0.0,-0.392982424,base_param
Mojito,10,base.aniso._lambda_lb_raw,1.0,-0.392982424,base_param
Mojito,10,base.aniso._lambda_lb_raw,2.0,-0.3860210761,base_param
Mojito,10,base.aniso._lambda_lb_raw,3.0,-1.028716922,base_param
Mojito,10,base.aniso._lambda_ub_raw,0.0,-0.8713172638,base_param
Mojito,10,base.aniso._lambda_ub_raw,1.0,-0.8713172638,base_param
Mojito,10,base.aniso._lambda_ub_raw,2.0,1.664920864,base_param
Mojito,10,base.aniso._lambda_ub_raw,3.0,6.88198522,base_param
Mojito,10,base.aniso._logn_mu_raw,0.0,-3.823046366,base_param
Mojito,10,base.aniso._logn_mu_raw,1.0,-3.823046366,base_param
Mojito,10,base.aniso._logn_mu_raw,2.0,-4.716871731,base_param
Mojito,10,base.aniso._logn_mu_raw,3.0,-4.526862998,base_param
Mojito,10,base.aniso._logn_sig_raw,0.0,-7.725323986,base_param
Mojito,10,base.aniso._logn_sig_raw,1.0,-7.725323986,base_param
Mojito,10,base.aniso._logn_sig_raw,2.0,-1.389400396,base_param
Mojito,10,base.aniso._logn_sig_raw,3.0,-1.206496667,base_param
Mojito,10,base.aniso._beta_a_raw,0.0,-0.87183897,base_param
Mojito,10,base.aniso._beta_a_raw,1.0,-0.87183897,base_param
Mojito,10,base.aniso._beta_a_raw,2.0,-0.87183897,base_param
Mojito,10,base.aniso._beta_a_raw,3.0,-0.81093022,base_param
Mojito,10,base.aniso._beta_b_raw,0.0,-0.5798185,base_param
Mojito,10,base.aniso._beta_b_raw,1.0,-0.47000363,base_param
Mojito,10,base.aniso._beta_b_raw,2.0,-0.05129329,base_param
Mojito,10,base.aniso._beta_b_raw,3.0,-1.2039728,base_param
Mojito,10,base.aniso._recruit_ref_stretch,,1.56013013,base_param
Mojito,10,base.aniso.quad_x,0.0,0.005299,base_param
Mojito,10,base.aniso.quad_x,1.0,0.027712,base_param
Mojito,10,base.aniso.quad_x,2.0,0.067184,base_param
Mojito,10,base.aniso.quad_x,3.0,0.122299,base_param
Mojito,10,base.aniso.quad_x,4.0,0.191061,base_param
Mojito,10,base.aniso.quad_x,5.0,0.270991,base_param
Mojito,10,base.aniso.quad_x,6.0,0.359009,base_param
Mojito,10,base.aniso.quad_x,7.0,0.451846,base_param
Mojito,10,base.aniso.quad_x,8.0,0.546156,base_param
Mojito,10,base.aniso.quad_x,9.0,0.638756,base_param
Mojito,10,base.aniso.quad_x,10.0,0.726781,base_param
Mojito,10,base.aniso.quad_x,11.0,0.807785,base_param
Mojito,10,base.aniso.quad_w,0.0,0.013576,base_param
Mojito,10,base.aniso.quad_w,1.0,0.031126,base_param
Mojito,10,base.aniso.quad_w,2.0,0.047579,base_param
Mojito,10,base.aniso.quad_w,3.0,0.062314,base_param
Mojito,10,base.aniso.quad_w,4.0,0.074797,base_param
Mojito,10,base.aniso.quad_w,5.0,0.084578,base_param
Mojito,10,base.aniso.quad_w,6.0,0.091322,base_param
Mojito,10,base.aniso.quad_w,7.0,0.094827,base_param
Mojito,10,base.aniso.quad_w,8.0,0.095038,base_param
Mojito,10,base.aniso.quad_w,9.0,0.092045,base_param
Mojito,10,base.aniso.quad_w,10.0,0.086079,base_param
Mojito,10,base.aniso.quad_w,11.0,0.0775,base_param
Pablo,10,w[I₁-3],,0.1230210226,cross_weight
Pablo,10,w[I₂-3],,1.826086645,cross_weight
Pablo,10,w[<I₂-3>ln(1+<I₂-3>)],,0.4283870603,cross_weight
Pablo,10,w[<I₄θ-1>],,0.0008330913378,cross_weight
Pablo,10,w[<I₄z-1>],,0.07652139538,cross_weight
Pablo,10,w[<I₄D1-1>],,0.0009003897969,cross_weight
Pablo,10,w[<I₄D2-1>],,0.0009003897969,cross_weight
Pablo,10,w[(<I₄θ-1>)³],,0.0005582876128,cross_weight
Pablo,10,w[<I₂-3>·<E_z>],,0.02617378429,cross_weight
Pablo,10,w[I₈D1D2],,0.404383866,cross_weight
Pablo,10,base.iso._bth,,-5.872970543,base_param
Pablo,10,base.iso._bz,,0.02489678475,base_param
Pablo,10,base.iso.bthz,,2.216611383,base_param
Pablo,10,base.aniso._α,,-2.889249109,base_param
Pablo,10,base.aniso._k1,0.0,-6.57725217,base_param
Pablo,10,base.aniso._k1,1.0,-6.57725217,base_param
Pablo,10,base.aniso._k1,2.0,-0.7960571669,base_param
Pablo,10,base.aniso._k1,3.0,-0.2481224076,base_param
Pablo,10,base.aniso._k2,0.0,11.53335259,base_param
Pablo,10,base.aniso._k2,1.0,11.53335259,base_param
Pablo,10,base.aniso._k2,2.0,3.938023296,base_param
Pablo,10,base.aniso._k2,3.0,4.810339685,base_param
Pablo,10,base.aniso._lam0_raw,0.0,-2.0,base_param
Pablo,10,base.aniso._lam0_raw,1.0,-2.0,base_param
Pablo,10,base.aniso._lam0_raw,2.0,-2.0,base_param
Pablo,10,base.aniso._lam0_raw,3.0,-2.0,base_param
Pablo,10,base.aniso._lam0h_raw,0.0,-2.8,base_param
Pablo,10,base.aniso._lam0h_raw,1.0,-2.8,base_param
Pablo,10,base.aniso._kappa,0.0,-3.8493416,base_param
Pablo,10,base.aniso._kappa,1.0,-3.8493416,base_param
Pablo,10,base.aniso._tau_raw,0.0,-0.5565936343,base_param
Pablo,10,base.aniso._tau_raw,1.0,-0.5565936343,base_param
Pablo,10,base.aniso._tau_raw,2.0,2.438469234,base_param
Pablo,10,base.aniso._tau_raw,3.0,-2.383051262,base_param
Pablo,10,base.aniso._sigma_s_raw,0.0,-2.0,base_param
Pablo,10,base.aniso._sigma_s_raw,1.0,-2.0,base_param
Pablo,10,base.aniso._sigma_s_raw,2.0,-2.0,base_param
Pablo,10,base.aniso._sigma_s_raw,3.0,-2.0,base_param
Pablo,10,base.aniso._lambda_lb_raw,0.0,-0.5459553483,base_param
Pablo,10,base.aniso._lambda_lb_raw,1.0,-0.5459553483,base_param
Pablo,10,base.aniso._lambda_lb_raw,2.0,-0.8552837485,base_param
Pablo,10,base.aniso._lambda_lb_raw,3.0,-0.9793664275,base_param
Pablo,10,base.aniso._lambda_ub_raw,0.0,-0.5446247612,base_param
Pablo,10,base.aniso._lambda_ub_raw,1.0,-0.5446247612,base_param
Pablo,10,base.aniso._lambda_ub_raw,2.0,1.447099154,base_param
Pablo,10,base.aniso._lambda_ub_raw,3.0,-0.6934813945,base_param
Pablo,10,base.aniso._logn_mu_raw,0.0,-2.523041014,base_param
Pablo,10,base.aniso._logn_mu_raw,1.0,-2.523041014,base_param
Pablo,10,base.aniso._logn_mu_raw,2.0,-4.551472193,base_param
Pablo,10,base.aniso._logn_mu_raw,3.0,-2.517744574,base_param
Pablo,10,base.aniso._logn_sig_raw,0.0,-4.195276735,base_param
Pablo,10,base.aniso._logn_sig_raw,1.0,-4.195276735,base_param
Pablo,10,base.aniso._logn_sig_raw,2.0,-0.8662459753,base_param
Pablo,10,base.aniso._logn_sig_raw,3.0,-4.622560236,base_param
Pablo,10,base.aniso._beta_a_raw,0.0,-0.87183897,base_param
Pablo,10,base.aniso._beta_a_raw,1.0,-0.87183897,base_param
Pablo,10,base.aniso._beta_a_raw,2.0,-0.87183897,base_param
Pablo,10,base.aniso._beta_a_raw,3.0,-0.81093022,base_param
Pablo,10,base.aniso._beta_b_raw,0.0,-0.5798185,base_param
Pablo,10,base.aniso._beta_b_raw,1.0,-0.47000363,base_param
Pablo,10,base.aniso._beta_b_raw,2.0,-0.05129329,base_param
Pablo,10,base.aniso._beta_b_raw,3.0,-1.2039728,base_param
Pablo,10,base.aniso._recruit_ref_stretch,,1.252107608,base_param
Pablo,10,base.aniso.quad_x,0.0,0.005299,base_param
Pablo,10,base.aniso.quad_x,1.0,0.027712,base_param
Pablo,10,base.aniso.quad_x,2.0,0.067184,base_param
Pablo,10,base.aniso.quad_x,3.0,0.122299,base_param
Pablo,10,base.aniso.quad_x,4.0,0.191061,base_param
Pablo,10,base.aniso.quad_x,5.0,0.270991,base_param
Pablo,10,base.aniso.quad_x,6.0,0.359009,base_param
Pablo,10,base.aniso.quad_x,7.0,0.451846,base_param
Pablo,10,base.aniso.quad_x,8.0,0.546156,base_param
Pablo,10,base.aniso.quad_x,9.0,0.638756,base_param
Pablo,10,base.aniso.quad_x,10.0,0.726781,base_param
Pablo,10,base.aniso.quad_x,11.0,0.807785,base_param
Pablo,10,base.aniso.quad_w,0.0,0.013576,base_param
Pablo,10,base.aniso.quad_w,1.0,0.031126,base_param
Pablo,10,base.aniso.quad_w,2.0,0.047579,base_param
Pablo,10,base.aniso.quad_w,3.0,0.062314,base_param
Pablo,10,base.aniso.quad_w,4.0,0.074797,base_param
Pablo,10,base.aniso.quad_w,5.0,0.084578,base_param
Pablo,10,base.aniso.quad_w,6.0,0.091322,base_param
Pablo,10,base.aniso.quad_w,7.0,0.094827,base_param
Pablo,10,base.aniso.quad_w,8.0,0.095038,base_param
Pablo,10,base.aniso.quad_w,9.0,0.092045,base_param
Pablo,10,base.aniso.quad_w,10.0,0.086079,base_param
Pablo,10,base.aniso.quad_w,11.0,0.0775,base_param
Audi,16,w[I₁-3],,0.003071086727,cross_weight
Audi,16,w[I₂-3],,0.004037025157,cross_weight
Audi,16,w[<I₂-3>ln(1+<I₂-3>)],,0.006014748185,cross_weight
Audi,16,w[<I₄θ-1>],,0.3011029956,cross_weight
Audi,16,w[<I₄z-1>],,0.07784292823,cross_weight
Audi,16,w[<I₄D1-1>],,0.3020341833,cross_weight
Audi,16,w[<I₄D2-1>],,0.3020341833,cross_weight
Audi,16,w[(<I₄θ-1>)³],,0.006911996352,cross_weight
Audi,16,w[<I₂-3>·<E_z>],,0.009392810196,cross_weight
Audi,16,w[I₈D1D2],,0.5572711017,cross_weight
Audi,16,base.iso._bth,,-7.800815807,base_param
Audi,16,base.iso._bz,,-1.480007529,base_param
Audi,16,base.iso.bthz,,3.609528279,base_param
Audi,16,base.aniso._α,,-7.747468729,base_param
Audi,16,base.aniso._k1,0.0,-4.361718223,base_param
Audi,16,base.aniso._k1,1.0,-4.361718223,base_param
Audi,16,base.aniso._k1,2.0,11.34277464,base_param
Audi,16,base.aniso._k1,3.0,6.792596621,base_param
Audi,16,base.aniso._k2,0.0,7.506778097,base_param
Audi,16,base.aniso._k2,1.0,7.506778097,base_param
Audi,16,base.aniso._k2,2.0,-8.033736638,base_param
Audi,16,base.aniso._k2,3.0,0.8234762882,base_param
Audi,16,base.aniso._lam0_raw,0.0,-2.0,base_param
Audi,16,base.aniso._lam0_raw,1.0,-2.0,base_param
