model,r2_circumferential,r2_axial,mse_circumferential,mse_axial,loss,aic,bic
"a: NeoHookean+4Fib (no rec, no disp)",0.7132674125618771,0.9756201724532023,8.48072619008773,0.3631686047410299,1.1770954499454922,6550.172734485694,6837.85028623457
"b: Quad+4Fib (no rec, no disp)",0.711851526210612,0.9821043662366432,8.575890768167545,0.26575032361124135,1.1733556252315602,6553.418082230892,6853.0821986359715
"c: Quad+4Fib (rec, no disp)",0.7410482066982762,0.9867332868049289,7.699966174349906,0.196844621793894,1.050392902701288,6218.785043555271,6518.449159960351
"d: Quad+4Fib (no rec, disp)",0.7115353096927571,0.983410980669786,8.610424562986765,0.24618757524083906,1.1727250913597411,6562.427534692918,6874.078215754201
"e: Quad+4Fib (rec, disp)",0.7460984232553309,0.8728688733378152,7.359996966111922,2.54937748403182,1.1949659486994155,6894.997902061561,7206.648583122844
f: Combined Eq (Quad+4Fib+rec+disp+cross),0.8161888150736799,0.881133317079357,5.312658435839871,2.255174846335604,0.9038970314916221,6122.788041302974,6512.351392629578
g: Combined Eq (Quad+4Fib+no rec+no disp+cross),0.794091934049336,0.986293461892003,6.461818598563605,0.203629514757978,0.8397968267044593,5742.831005310341,6120.407791980741
