lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa
0.6225758305759003,1.60897118331698,1.393,4.99754991194618
0.643209621891522,1.7313818408084096,1.393,5.203455011797594
0.6601960465408886,1.8537924982998395,1.393,5.409360111649009
0.6723474409531606,1.9762031557912692,1.393,5.413249555035402
0.682019886242737,2.098613813282699,1.393,5.39145429569489
0.6910986414843739,2.221024470774129,1.393,5.3696590363543795
0.701455343294744,2.3434351282655586,1.393,5.360709261670411
0.7142419192972294,2.465845785756988,1.393,5.46336823356105
0.7276222709021741,2.588256443248418,1.393,5.566027205451688
0.739063455194205,2.7106671007398475,1.393,5.666115690970914
0.7483580727290294,2.833077758231277,1.393,5.744624930954252
0.7566676369183486,2.9554884157227073,1.393,5.823134170937592
0.7643737014792685,3.077899073214137,1.393,5.90164341092093
0.7718578201288954,3.200309730705567,1.393,5.980152650904269
0.7791428558135128,3.3227203881969967,1.393,6.029531432115308
0.7853853731873683,3.4451310456884263,1.393,6.059771383733057
0.7913374203800069,3.567541703179856,1.393,6.090011335350807
0.7979200109794702,3.6899523606712856,1.393,6.120251286968556
0.8060541585738,3.8123630181627153,1.393,6.150491238586305
0.8179440446793852,3.934773675654145,1.393,6.182470367174238
0.836253268151664,4.057184333145575,1.393,6.216014256579099
0.8510513164566946,4.179594990637005,1.393,6.2673312050957
0.8625857860666664,4.302005648128435,1.393,6.3423470520872325
0.8730920447840457,4.424416305619864,1.393,6.417362899078765
0.8837525015244623,4.546826963111294,1.393,6.509030494630505
0.8947384629378176,4.669237620602724,1.393,6.622773685528715
0.9050071860863689,4.791648278094153,1.393,6.7365168764269265
0.9134984956531033,4.914058935585583,1.393,6.834849132180167
0.9205252665362527,5.036469593077013,1.393,6.892030697742075
0.9267248584942404,5.158880250568442,1.393,6.949212263303982
0.9324785328801651,5.281290908059873,1.393,7.00639382886589
0.9381675510471265,5.4037015655513025,1.393,7.063575394427797
0.9441731743482228,5.526112223042732,1.393,7.120756959989705
0.9503850967274589,5.648522880534162,1.393,7.195550527793276
0.9563087029007372,5.7709335380255915,1.393,7.274635349131538
0.9625231373507143,5.893344195517021,1.393,7.3537201704698
0.9696381898056614,6.015754853008451,1.393,7.432804991808062
0.9787664106310952,6.1381655104998805,1.393,7.49270953276679
0.992763164348453,6.26057616799131,1.393,7.517713212691474
1.0030504648019256,6.38298682548274,1.393,7.544811917384771
1.0080545688195603,6.505397482974169,1.393,7.594972411515153
1.0118642084476699,6.627808140465599,1.393,7.645132905645536
1.0148715966615078,6.75021879795703,1.393,7.695293399775918
1.0174689464363285,6.872629455448459,1.393,7.7454538939063
1.0200484707473858,6.995040112939889,1.393,7.7956143880366815
1.023002382569933,7.117450770431319,1.393,7.845774882167063
1.0267194699816524,7.239861427922748,1.393,7.903173194834104
1.0312178431587073,7.362272085414178,1.393,8.00790624556393
1.0361926333350144,7.4846827429056075,1.393,8.112639296293757
1.0414065196732765,7.607093400397037,1.393,8.217372347023584
1.0466221813361953,7.729504057888467,1.393,8.322105397753411
1.0518030099367695,7.851914715379897,1.393,8.418351929545898
1.0574902928583865,7.974325372871327,1.393,8.507650694604346
1.0630649592784283,8.096736030362758,1.393,8.596949459662794
1.0677553670816844,8.219146687854186,1.393,8.686248224721242
1.0709321478779308,8.341557345345617,1.393,8.771808458347572
1.0733105424409444,8.463968002837046,1.393,8.852284156575251
1.0752417894152348,8.586378660328476,1.393,8.93275985480293
1.0768643371033793,8.708789317819905,1.393,9.01323555303061
1.078316633807954,8.831199975311335,1.393,9.09371125125829
1.0797371278315364,8.953610632802766,1.393,9.17418694948597
1.081264267476703,9.076021290294195,1.393,9.254662647713648
1.0830365010460303,9.198431947785625,1.393,9.335138345941328
1.0851922768420956,9.320842605277054,1.393,9.415614044169006
1.0879944066852856,9.443253262768485,1.393,9.46310061638946
1.0922947396201126,9.565663920259913,1.393,9.456822477146613
1.0969347840613348,9.688074577751344,1.393,9.450544337903766
1.1003577944361802,9.810485235242773,1.393,9.473340100445245
1.102738991257895,9.932895892734203,1.393,9.60704009534192
1.1047273814118375,10.055306550225632,1.393,9.740740090238594
1.1065300569941519,10.177717207717063,1.393,9.87444008513527
1.1083541101009835,10.300127865208491,1.393,10.008140080031943
1.1104417273068194,10.422538522699922,1.393,10.09530814424671
1.1129236560267184,10.54494918019135,1.393,10.129353927689813
1.1152095516494487,10.667359837682781,1.393,10.163399711132916
1.1166214122315856,10.789770495174212,1.393,10.197445494576021
1.1173141424783157,10.91218115266564,1.393,10.324514690697708
1.1178739351248317,11.034591810157071,1.393,10.451725987810239
1.1182630612515339,11.1570024676485,1.393,10.578937284922768
1.1184437902434796,11.27941312513993,1.393,10.706148582035297
1.1184774965450934,11.401823782631359,1.393,10.781320052949368
1.1184998037300424,11.52423444012279,1.393,10.850161512943409
1.118515557297798,11.646645097614218,1.393,10.919002972937449
1.118528217151269,11.769055755105649,1.393,10.987844432931489
1.1185412431933635,11.89146641259708,1.393,11.05668589292553
1.1185571231537217,12.013877070088508,1.393,11.101858832075704
1.118572614445698,12.136287727579939,1.393,11.124612395636207
1.1185873496340366,12.258698385071368,1.393,11.14736595919671
1.1186017122193785,12.381109042562798,1.393,11.170119522757213
1.1186160857023641,12.503519700054227,1.393,11.192873086317714
1.1186308535836342,12.625930357545657,1.393,11.215626649878217
1.1186463993638298,12.748341015037086,1.393,11.23838021343872
1.1186618988601935,12.870751672528517,1.393,11.298855217286183
1.1186764860008904,12.993162330019947,1.393,11.364151422535468
1.1186915257852705,13.115572987511376,1.393,11.42944762778475
1.1187084050885678,13.237983645002807,1.393,11.494743833034034
1.1187285107860163,13.360394302494235,1.393,11.560040038283319
1.1187535850307864,13.482804959985666,1.393,11.637039449126034
1.1187928013313961,13.605215617477095,1.393,11.759284847819064
1.1188403953211,13.727626274968525,1.393,11.881530246512096
1.1188846676580564,13.850036932459954,1.393,11.926655883389198
1.1189424629114417,13.972447589951384,1.393,11.958845693031677
1.1191333356061364,14.094858247442815,1.393,11.887448581095098
1.1193170535081804,14.217268904934244,1.393,11.960855691312034
1.1194903549042392,14.339679562425674,1.393,11.762453939698064
1.1197036998250716,14.462090219917103,1.393,11.978458390887369
1.1198149852566086,14.584500877408534,1.393,12.055460863005026
1.119875341152401,14.706911534899962,1.393,12.205101580945279
1.1199193520644384,14.829322192391393,1.393,12.252108301689377
1.119974976920899,14.951732849882822,1.393,12.263548756901635
1.1200414866555084,15.074143507374252,1.393,12.249227619892922
1.1201160158386767,15.196554164865683,1.393,12.487815248319361
1.1201679347961555,15.318964822357112,1.393,12.602941045465531
1.120203351402024,15.441375479848542,1.393,12.640409562565845
1.1202610562234814,15.56378613733997,1.393,12.586757212792987
1.1203628256988354,15.686196794831401,1.393,12.397838012196114
1.1204387129867197,15.80860745232283,1.393,12.561491606358064
1.1204800888837787,15.93101810981426,1.393,12.63307038680186
1.1205106376737988,16.05342876730569,1.393,12.704416926026209
1.1205390986241117,16.175839424797122,1.393,12.775935624583001
1.1205664623703342,16.29825008228855,1.393,12.853903695262888
1.1205914295218329,16.42066073977998,1.393,12.931871765942775
1.1206182921059205,16.54307139727141,1.393,13.009839836622664
1.1206512617190483,16.66548205476284,1.393,13.042131695003883
1.1206921834837704,16.78789271225427,1.393,12.99977123953935
1.120740337031111,16.910303369745698,1.393,12.967522835612842
1.1207972952168985,17.03271402723713,1.393,13.094428717988555
1.1208824672811997,17.15512468472856,1.393,13.157073102996709
1.1209640112398638,17.277535342219988,1.393,13.135696548555392
1.1210098482729636,17.39994599971142,1.393,13.109877679308408
1.121045523492271,17.52235665720285,1.393,13.130790515734306
1.1210711297658509,17.644767314694278,1.393,13.262597450890187
1.121093815232419,17.76717797218571,1.393,13.39440438604607
1.1211248780949816,17.88958862967714,1.393,13.52621132120195
1.1211867182770805,18.011999287168567,1.393,13.508690523398844
1.1212789246777781,18.134409944659996,1.393,13.484860502726617
1.121368021721504,18.25682060215143,1.393,13.532001260829214
1.121431711438549,18.379231259642857,1.393,13.604585538978744
