age,animal,name,coeff_raw,rms_psi,contribution,contribution_frac
10weeks,Gus,I₈D1D2,0.0099241,2.102444712159154,0.02086487156793866,1.0
10weeks,Mojito,I₈D1D2,0.67155,2.102444712159154,1.41189674645048,0.739304873602561
10weeks,Mojito,<E_z>,0.23469,0.6089052047155441,0.14290396249469106,0.07482813186944913
10weeks,Mojito,<I₄z-1>,0.11132,1.2219007055306337,0.13602198653967015,0.07122455506657487
10weeks,Mojito,I₂-3,0.023499,3.6236374768423274,0.08515185706831785,0.044587667678377255
10weeks,Mojito,<I₂-3>·<E_z>,0.022207,2.812659719799658,0.06246073439759101,0.032706021502652255
10weeks,Mojito,<I₂-3>ln(1+<I₂-3>),0.0058753,7.121809193036629,0.041842765551848106,0.021909931144228782
10weeks,Mojito,exp(<I₄z-1>)-1,0.0010221,28.846960479567045,0.029484478306165476,0.015438819136156747
10weeks,Pablo,I₈D1D2,0.48308,2.102444712159154,1.0156489915498441,0.7995935011205509
10weeks,Pablo,I₂-3,0.069802,3.6236374768423274,0.25293714315854815,0.199130701201162
10weeks,Pablo,I₁-3,0.00078777,2.057106401083927,0.0016205267095818852,0.00127579767828712
16weeks,Audi,I₈D1D2,1.9043,2.102444712159154,4.003685465364677,0.8576590070776011
16weeks,Audi,<I₄z-1>,0.21481,1.2219007055306337,0.2624764905550354,0.056227025878552696
16weeks,Audi,<E_z>,0.21241,0.6089052047155441,0.12933755453362872,0.02770635194966626
16weeks,Audi,<E_θ>,0.15159,0.711046410469208,0.10778752536302724,0.023089961181499884
16weeks,Audi,<I₄D1-1>,0.072356,1.2171623689535682,0.08806900036800439,0.01886591043761215
16weeks,Audi,<I₄D2-1>,0.063097,1.2171623689535682,0.07679929399386329,0.01645174347506791
16weeks,Oreon,<I₄D1-1>,1.1688,1.2171623689535682,1.4226193768329307,0.34139453075440396
16weeks,Oreon,I₈D1D2,0.64829,2.102444712159154,1.362993882445658,0.3270858421418118
16weeks,Oreon,<I₄D2-1>,1.0702,1.2171623689535682,1.3026071672541089,0.3125944787930896
16weeks,Oreon,(<I₄D2-1>)³,0.017228,4.076445242791436,0.07022899864281086,0.016853275322588096
16weeks,Oreon,<E_z>,0.014179,0.6089052047155441,0.0086336668976617,0.002071872988106497
16weeks,Sagittarius,(<I₄θ-1>)³,39.438,10.765964267057774,424.5880987642245,0.9868631991523464
16weeks,Sagittarius,I₈D1D2,1.5592,2.102444712159154,3.278131795198553,0.007619308313323955
16weeks,Sagittarius,<I₄z-1>,0.9969,1.2219007055306337,1.2181128133434886,0.002831239762497811
16weeks,Sagittarius,<E_z>,1.7593,0.6089052047155441,1.0712469266560567,0.0024898817752990487
16weeks,Sagittarius,<I₂-3>·<E_z>,0.030038,2.812659719799658,0.08448667266334213,0.0001963709965327652
28weeks,Dodge,I₈D1D2,3.0141,2.102444712159154,6.3369786069189065,0.863146600885276
28weeks,Dodge,I₂-3,0.13947,3.6236374768423274,0.5053887188951994,0.06883794027075811
28weeks,Dodge,<I₂-3>ln(1+<I₂-3>),0.066419,7.121809193036629,0.4730234447922999,0.06442953398418226
