age,animal,k,loss,aic,bic,rmse_theta,rmse_z,rmse_combined,t_base_s,t_tweak_s,n_terms_used,terms
10weeks,Gus,5,7.728745002237787,5852.119865657351,6190.672235515108,2.6103516301349066,0.9564566740264946,1.9658007277236658,100.57586789131165,72.08910799026489,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
10weeks,Gus,8,7.296063036463148,5696.4617086382805,6052.832624278025,2.5275722750660794,0.9525972027989748,1.9099820727513581,100.57586789131165,71.96954393386841,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
10weeks,Gus,10,7.531110520620665,5789.433284283413,6157.683230444482,2.5745495542639056,0.9501605723561624,1.940503867636015,100.57586789131165,68.46696305274963,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
10weeks,Mojito,5,12.129444439643274,10920.103539588888,11283.38294038569,2.195911767600567,2.7032232517046437,2.4626656735784573,91.24956107139587,79.18344330787659,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
10weeks,Mojito,8,11.615293376574854,10738.556963330524,11120.956332590316,2.1801931733968964,2.6195516989073577,2.40990595009171,91.24956107139587,79.25617408752441,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
10weeks,Mojito,10,11.538968361479904,10714.010295236425,11109.15631013821,2.178055152301995,2.6067305413123614,2.401975058309297,91.24956107139587,81.21092200279236,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
10weeks,Pablo,5,2.5422552267921565,3580.286588710745,3934.834224268401,1.4092371124071468,0.7458592278751554,1.1274429534996784,100.22772192955017,86.94688105583191,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
10weeks,Pablo,8,2.6437796064270866,3731.7585243110525,4104.966561740164,1.4090516910047566,0.8113895109648158,1.1497346664398458,100.22772192955017,85.47154927253723,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
10weeks,Pablo,10,2.671162006511463,3774.0379726143838,4159.686277957799,1.4089940275444726,0.8281894933259355,1.1556733981777603,100.22772192955017,85.96774411201477,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
16weeks,Audi,5,23.12511876278328,7774.7024631197055,8105.265036818013,4.646929627186373,1.2374020376420891,3.400376358786133,84.34649300575256,59.279900789260864,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
