name,psi_grid_mean,psi_grid_std,n_specimens,obs_max_coeff_raw,weight_bound,S1,S1_conf,ST,ST_conf
<I₁-3>·<E_z>,0.959688528782843,1.0204522373294682,1,0.0020865,1.0,-0.025448407239614147,0.029205349646522924,0.1328719994573423,0.01633444218020351
(<I₄D2-1>)³,2.4889292102273193,3.228410940997776,2,0.023564,1.0,-0.02504583805341524,0.03719050122674994,0.1303743497686421,0.013856896444576423
<I₄D2-1>,1.0119324740089175,0.6763703870238947,4,1.0702,1.0,0.015017608164020693,0.029842898084160876,0.130295605827798,0.013093995145991017
(<I₄z-1>)³,2.5216552241560963,3.277478256468462,1,0.018348,1.0,-0.017210268723394883,0.030084081957038596,0.13004215135365152,0.013481636206797598
<E_z>,0.5048186541780236,0.3404756595170465,7,1.7593,1.0,0.003918785493774063,0.02753793367833141,0.12955604421889194,0.016229604762727896
<I₄z-1>·<I₄D2-1>,1.4871999340418662,1.5263287156982823,1,0.0075835,1.0,-0.002815909445749313,0.029289240828475036,0.1293613299510629,0.014893117841295503
<I₄z-1>·<E_z>,0.7440202859041833,0.7655491603575545,2,0.012173,1.0,-0.023657709015483787,0.029408318158555408,0.12836162286619077,0.016647281946646362
<I₄D1-1>,1.0119324740089175,0.6763703870238947,4,1.1688,1.0,-0.010732319765905463,0.02628104740170282,0.12529524698375782,0.012581951629302198
<I₄z-1>,1.0142450223966986,0.6814311181034961,5,0.9969,1.0,0.005296093045854695,0.03154363870525858,0.12381584688860954,0.013267406999418117
(<I₄D1-1>)³,2.4889292102273193,3.228410940997776,1,0.023572,1.0,-0.013210077230500559,0.029081659920628875,0.12332950685766012,0.013315634402384294
I₈D1D2,-1.9905545380459702,0.6767321469758787,12,3.0141,1.0,-0.004319137213658253,0.025555227636065016,0.1207018004943942,0.013480239124389556
exp(<I₄z-1>)-1,16.93059033027275,23.355989381273865,2,0.016099,1.0,-0.016027274378815928,0.030662191183309883,0.12040807825732501,0.013876659240565374
<I₂-3>·<E_z>,1.6824657275709647,2.2539662319858733,3,0.062301,1.0,0.018804231936237974,0.02597762154981279,0.11145996725760014,0.011745144311367337
<I₂-3>ln(1+<I₂-3>),4.408536376773026,5.5932971668497995,3,0.066419,1.0,-0.00017559370788207545,0.0254822266673782,0.09004104394113835,0.010342158489982689
I₂-3,2.678028905290519,2.4410878202155475,4,0.13947,1.0,0.021132306977060086,0.02151700920651527,0.08954451219363793,0.010882046517895875
<I₁-3>·<E_θ>,1.108850347484587,1.7016352346684416,1,0.01412,1.0,0.007848435044257253,0.02215404102566391,0.07394729690022071,0.008401526601952206
<I₄θ-1>,0.9270343161624812,1.082642272157597,2,0.27265,1.0,-0.0029200350893402237,0.02206712925582571,0.07317463490268061,0.00944153261496518
(<I₄θ-1>)³,5.120530158042568,9.470277583056443,2,39.438,1.0,0.0011462582772529778,0.024471324750295897,0.068365831759056,0.008374834053730164
I₁-3,1.6613952577032203,1.2130344360576568,3,0.012798,1.0,0.004510025607192064,0.02047470406661982,0.06811380351025749,0.008277344350741924
<E_θ>,0.46110954610617055,0.5412623987779929,4,1.1852,1.0,0.015336814100250904,0.022699167116271856,0.0652234649854474,0.007774049727219491
