k,n_animals,mean_rmse_theta,median_rmse_theta,mean_rmse_z,median_rmse_z,mean_rmse_combined,median_rmse_combined
5,11,3.200623287300958,2.8033351025397537,1.5556456949752508,1.4349620472883418,2.558282161341047,2.4626656735784573
8,11,3.188344311742543,2.8002839506521635,1.5456679818888268,1.5467846203055673,2.5489613452179225,2.40990595009171
10,11,3.190514249190468,2.799208655107344,1.5486551959496344,1.5592463033731627,2.551313847265368,2.401975058309297
