model,r2_circumferential,r2_axial,mse_circumferential,mse_axial,loss,aic,bic
Base,0.8438015908434151,0.8968268707763509,5.141026080135912,1.1840263309770793,6.325052411112992,1690.2857559923916,1937.6462402332645
Base + Tweak,0.8610286018156124,0.9416702575407072,4.574025986030795,0.6693986260822236,5.243424612113018,1708.9983596403024,2384.4827589134547
