model,r2_circumferential,r2_axial,mse_circumferential,mse_axial,loss,aic,bic
"a: NeoHookean+4Fib (no rec, no disp)",0.5651472812323532,0.6624227698812575,9.95361855265615,2.337471770733994,2.0711897236125285,2253.6321869153694,2481.964941599252
"b: Quad+4Fib (no rec, no disp)",0.5389938246573928,0.7614138077730253,9.851210606960963,1.5304786921795805,2.013923117503835,2191.525041531271,2429.3716609936487
"c: Quad+4Fib (rec, no disp)",0.6328972534007579,0.887776611869913,7.491482268150603,0.7450010837452374,1.4851691697821852,1913.3731886233613,2151.219808085739
"d: Quad+4Fib (no rec, disp)",0.5904156879030855,0.8220500436520247,8.205956329736813,1.2256383935894881,1.7374239076264826,2033.896066880594,2281.2565511214666
"e: Quad+4Fib (rec, disp)",0.6171782050513273,0.8836359856873834,7.639532456457105,0.7917862980080761,1.5477497769032558,1937.4797482664687,2184.8402325073416
f: Combined Eq (Quad+4Fib+rec+disp+cross),0.6566880614073844,0.9149198196679511,7.178504178045453,0.5692293818765837,1.3586323784274335,1890.7643067743038,2199.9649120753947
g: Combined Eq (Quad+4Fib+no rec+no disp+cross),0.5842282352792446,0.876145901527974,9.19212582129376,0.7789667267862285,1.677117076282125,2103.733538914667,2403.4202794372627
