lambda_theta,sigma_theta_kpa
0.5368352630623583,0.007935231426937476
0.5370292556740395,0.0354422195238283
0.5392667343681669,0.019868645387061797
0.5416982056739755,0.023879054648135882
0.5441296769797841,0.027901690637097208
0.5465611482855928,0.032662406029661924
0.5489926195914013,0.03830489240497328
0.5514240908972099,0.04087987414139335
0.5538555622030186,0.044324400132672824
0.5542573611334589,0.036221908024637
0.5562870335088271,0.04863847037881165
0.5587185048146358,0.05382208487980983
0.5611499761204444,0.0598752436356674
0.563581447426253,0.06679794664638433
0.5660129187320616,0.07459019391196066
0.5684443900378702,0.08252613275668019
0.5708758613436788,0.09046207160139973
0.5733073326494874,0.09839801044611926
0.5757388039552961,0.10575812547371644
0.5781702752611046,0.11236383682064303
0.5806017465669133,0.11821514448689906
0.5830332178727219,0.12331204847248446
0.5836087874585262,0.132020334172858
0.5854646891785305,0.1276545487773993
0.5878961604843391,0.1312426454016435
0.5903276317901477,0.13407633834521712
0.5927591030959564,0.13615562760812014
0.5951905744017649,0.13748051319035257
0.5976220457075735,0.13862681890903678
0.6000535170133822,0.13977312462772093
0.6024849883191907,0.14140012361265444
0.6049164596249994,0.14362815814496943
0.607347930930808,0.14645722822466592
0.6097794022366165,0.14988733385174388
0.6102662433306636,0.144587866447988
0.6122108735424252,0.15391847502620334
0.6146423448482338,0.15855065174804428
0.6170738161540424,0.16378386401726672
0.619505287459851,0.16961811183387063
0.6219367587656597,0.176053395197856
0.6243682300714682,0.18213392077040108
0.6267997013772768,0.18762800331664994
0.6292311726830855,0.19253564283660266
0.631662643988894,0.19685683933025916
0.6321242867827269,0.203520558708893
0.6340941152947027,0.20059159279761943
0.6365255866005113,0.20373990323868355
0.63895705790632,0.20630177065345154
0.6413885292121285,0.2082771950419233
0.6438200005179371,0.20976725754216877
0.6462514718237458,0.21192570672320843
0.6486829431295543,0.21486388553876595
0.651114414435363,0.2185817939888413
0.6532306791927794,0.214611101929584
0.6535458857411716,0.2230794320734346
0.6559773570469802,0.22835679979254575
0.6584088283527888,0.23441389714617472
0.6608402996585974,0.24125072413432155
0.663271770964406,0.2488672807569863
0.6657032422702146,0.257162485876099
0.6681347135760232,0.26545769099521166
0.6705661848818318,0.27360242134444746
0.6729976561876405,0.28147811575917986
0.6754291274934491,0.2890847742394088
0.6778605987992576,0.29642239678513443
0.6789321213462534,0.302294116740723
