model,r2_circumferential,r2_axial,mse_circumferential,mse_axial,loss,aic,bic
"a: NeoHookean+4Fib (no rec, no disp)",0.7832444868995456,0.9624192695338053,14.05137035923884,3.0284882520327057,17.079858611271547,11779.633930695307,12083.132171740262
"b: Quad+4Fib (no rec, no disp)",0.7865129512648281,0.9587481071249587,13.83948922807114,3.3243332792201583,17.163822507291297,11803.82335200599,12119.967353094484
"c: Quad+4Fib (rec, no disp)",0.7736256617280999,0.9593779997051443,14.674919319869497,3.2735726299334127,17.94849194980291,11987.862603269243,12304.006604357737
"d: Quad+4Fib (no rec, disp)",0.7858159157225522,0.9594106261876771,13.884675181673778,3.270943385694929,17.15561856736871,11805.8550436509,12134.644804782934
"e: Quad+4Fib (rec, disp)",0.7736802388594486,0.9593305875394842,14.671381308426296,3.277393396185792,17.948774704612088,11991.927460661347,12320.717221793382
f: Combined Eq (Quad+4Fib+rec+disp+cross),0.8330766123425593,0.969287784989427,10.820958175612745,2.4749806935522485,13.295938869164994,10772.56722259453,11151.940023900725
g: Combined Eq (Quad+4Fib+no rec+no disp+cross),0.8873762773914784,0.9718123650185997,7.30093373392125,2.2715343830409798,9.57246811696223,9415.854550311993,9782.581591574648
