lambda_z,sigma_z_kpa
1.187,1.5549314185129077
1.1884862155388471,1.667742001927585
1.189,1.6222295635852977
1.1899724310776942,1.7285054530891184
1.191,1.7958419737570566
1.1914586466165413,1.7946604071275523
1.1929448621553884,1.864599306853294
1.193,1.9215391894007914
1.1944310776942357,1.9356820133770607
1.195,2.0099857154652785
1.1959172932330828,2.000224151521068
1.197,2.082539849402034
1.19740350877193,2.0584113610219648
1.198889724310777,2.112239885511145
1.199,2.1283683450618067
1.200375939849624,2.1599473284508957
1.201,2.13965863033391
1.2018621553884712,2.2036513626943472
1.203,2.211857495963854
1.2033483709273183,2.2455379858060645
1.2048345864661654,2.292803810883029
1.205,2.3178939257767923
1.2063208020050127,2.342770814291997
1.207,2.3626347926099482
1.2078070175438598,2.3944448873352013
1.209,2.4011163111142495
1.2092932330827069,2.442971707908268
1.210779448621554,2.4891049236395344
1.211,2.531563532322185
1.212265664160401,2.532830306541422
1.213,2.6010621565605963
1.2137518796992481,2.576366487727849
1.215,2.60143514867607
1.2152380952380952,2.6179365764410814
1.2167243107769423,2.659911013198628
1.217,2.6525759223121277
1.2182105263157896,2.6973334763415227
1.219,2.7353110411495947
1.2196967418546367,2.733114179477208
1.221,2.74666511321612
1.2211829573934838,2.768964827271213
1.222669172932331,2.810405802503634
1.223,2.8081888153133274
1.224155388471178,2.8544077305017552
1.225,2.8874551905823878
1.225641604010025,2.8975110342024086
1.227,2.918987502571621
1.2271278195488722,2.939498160843331
1.2286140350877193,2.979399150697169
1.229,2.995199737363593
1.2301002506265664,3.016758390561397
1.231,3.0794424648612555
1.2315864661654137,3.0528134430304963
1.233,3.1174317324782774
1.2330726817042608,3.0907529648113017
1.2345588972431079,3.128490962511402
1.235,3.109696004523545
1.236045112781955,3.1629276819109453
1.237,3.1566748895074794
1.237531328320802,3.1932604044002395
1.239,3.238737618871544
1.2390175438596491,3.2198732021958882
1.2405037593984962,3.2453858680896923
1.241,3.271671836620161
1.2419899749373433,3.2724280524296536
1.243,3.3095531008298145
1.2434761904761906,3.300342150345636
1.2449624060150377,3.3345636053633276
1.245,3.330490923164204
1.2464486215538848,3.3678915856088434
1.247,3.3529587366092652
1.247934837092732,3.399748445744903
1.249,3.356858993566984
1.249421052631579,3.4281763033860218
1.250907268170426,3.457249754677861
1.251,3.4927707853182945
1.2523934837092732,3.488171058032399
1.253,3.5590902580215773
1.2538796992481203,3.5209258791834723
1.255,3.538905340940739
1.2553659147869674,3.5570873428872627
1.2568521303258147,3.5962051315306827
1.257,3.5791768237729458
1.2583383458646618,3.6279742177081884
1.259,3.6228311021839903
1.2598245614035088,3.654235945813994
1.261,3.6682537733708056
1.261310776942356,3.677398699331379
1.262796992481203,3.7027989228473723
1.263,3.7453585220009438
1.2642832080200501,3.7291868996259208
1.265,3.787490996140192
1.2657694235588972,3.756645563614121
1.267,3.7558904418830235
1.2672556390977445,3.7842592617741615
1.2687418546365916,3.8075850255071613
1.269,3.7776889040893877
1.2702280701754387,3.8282380676119048
1.271,3.836321131934104
1.2717142857142858,3.847527346431793
1.273,3.8900697337662016
1.2732005012531329,3.8664063644734985
1.27468671679198,3.8882322957953908
1.275,3.890184871307091
1.276172932330827,3.9118828486918633
1.277,3.9468370871424003
1.2776591478696742,3.934855235115953
1.279,3.9442801755866967
1.2791453634085213,3.955940923349632
1.2806315789473686,3.9810235724094674
1.281,3.9575555586947617
1.2821177944862157,4.014445865406204
1.283,4.011545332058262
1.2836040100250627,4.052219879674408
1.285,4.041006084848988
1.2850902255639098,4.0945744388563865
1.286576441102757,4.140453577158083
1.287,4.135927529025363
1.288062656641604,4.193721117786078
1.289,4.239516857446976
1.2895488721804511,4.253858240069093
1.291,4.326454220668643
1.2910350877192982,4.320077549383481
1.2925213032581455,4.3873220767888
1.293,4.368133060088173
1.2940075187969926,4.452436056596207
1.295,4.499912038599187
1.2954937343358397,4.5148754992086655
1.2969799498746868,4.572186543835734
1.297,4.617596202015434
1.2984661654135339,4.621440325038231
1.299,4.66246535469327
1.299952380952381,4.667862097407325
1.301,4.745175075819585
1.301438596491228,4.70736796232554
1.3029248120300752,4.737340218130745
1.303,4.780503131543298
1.3044110275689222,4.757880690512595
1.305,4.766281336641404
1.3058972431077696,4.777206146556427
1.307,4.78784051579287
1.3073834586466166,4.794412268661482
1.3088696741854637,4.80677613759581
1.309,4.799472682797474
1.3103558897243108,4.817150476898763
1.311,4.802139536170962
1.311842105263158,4.831275220586517
1.313,4.855051140240083
1.313328320802005,4.849176179297441
1.314814536340852,4.869741269583056
1.315,4.865132102989312
1.3163007518796994,4.890862945677938
1.317,4.876528526858622
1.3177869674185465,4.914633439229709
1.319,4.930059651616759
1.3192731829573936,4.9409080612310134
1.3207593984962407,4.969482753423474
1.321,4.981323653889598
1.3222456140350878,5.0018339011043516
1.323,4.9933436339654245
1.3237318295739349,5.036931955269671
1.325,5.053115665923807
1.325218045112782,5.07305690837163
1.326704260651629,5.115702489256767
1.327,5.124422362910258
1.3281904761904761,5.156763336911587
1.329,5.176393571297015
1.3296766917293232,5.1984242071509135
1.331,5.211957709422771
1.3311629072681705,5.242238961737992
1.3326491228070176,5.288099997531131
1.333,5.344045381209378
1.3341353383458647,5.331845266793772
1.335,5.3452059225726325
1.3356215538847118,5.374617535879424
1.337,5.404900478005944
1.337107769423559,5.419296630530774
1.338593984962406,5.469066370043152
1.339,5.49114790200375
1.340080200501253,5.512723357761032
1.341,5.5215825966749374
1.3415664160401004,5.555769046857769
1.343,5.587701596730864
1.3430526315789475,5.597001204788116
1.3445388471177946,5.640675856265517
1.345,5.695500205480326
1.3460250626566417,5.687048650335782
1.347,5.731175662623286
1.3475112781954888,5.737370810082236
1.3489974937343359,5.784303276448309
1.349,5.734851641848877
1.350483709273183,5.828700483747731
1.351,5.8262012320447205
1.35196992481203,5.869294714987315
1.353,5.959805281017116
1.3534561403508771,5.91096101018503
1.3549423558897244,5.955256315795041
1.355,5.962786139531601
1.3564285714285715,6.007897387276416
1.357,6.001044119274059
1.3579147869674186,6.060336093866838
1.359,6.077451739946393
1.3594010025062657,6.108709649705457
1.3608872180451128,6.1538890154859915
1.361,6.133959674805996
1.36237343358396,6.205411338173316
1.363,6.242675530828309
1.363859649122807,6.260994738540828
1.365,6.316874611652696
1.365345864661654,6.317990294041173
1.3668320802005014,6.372285464636175
1.367,6.371702785986811
1.3683182957393485,6.425397186317038
1.369,6.454686204091892
1.3698045112781956,6.473550596421305
1.371,6.543380217716667
1.3712907268170427,6.518274737534213
1.3727769423558898,6.56144889837641
1.373,6.581713446955267
1.3742631578947369,6.605863443180292
1.375,6.624566657011149
1.375749373433584,6.64998622445181
1.377,6.671087421791616
1.377235588972431,6.693540452841919
1.3787218045112781,6.737465202182669
1.379,6.722006328248543
1.3802080200501254,6.784431748898263
1.381,6.796217005377653
