lambda_theta,sigma_theta_kpa
0.4510722055405911,0.010807390818380922
0.45394700056862797,0.03242217245514276
0.4568217955966649,0.045391041437199894
0.4596965906247018,0.0605213885829332
0.46257138565273875,0.07768035084730983
0.46544618068077565,0.09499936013033203
0.4683209757088126,0.11031693826832362
0.4711957707368495,0.12363308526128457
0.4738797253144324,0.154335039299101
0.47407056576488643,0.13494780110921495
0.4769453607929233,0.14426108581211466
0.47982015582096027,0.15157293936998376
0.48269495084899716,0.15688336178282225
0.4855697458770341,0.16022886153834134
0.488444540905071,0.1618143371382073
0.49131933593310795,0.16350835668241784
0.49419413096114484,0.16531092017097299
0.4961019957786848,0.165469562945439
0.4970689259891818,0.16722202760387272
0.4999437210172187,0.1692416789811171
0.5028185160452556,0.1713698743027061
0.5056933110732925,0.17360661356863968
0.5085681061013294,0.17577647675059443
0.5114429011293664,0.1778017781813139
0.5143176961574033,0.17961048240416472
0.5171924911854402,0.18120258941914683
0.5177390169333485,0.183663407940797
0.5200672862134771,0.18257809922626023
0.522942081241514,0.183737011825505
0.525816876269551,0.18467932721688102
0.5286916712975879,0.1859557231296587
0.5315664663256248,0.18814624667697907
0.5344412613536618,0.19142631788716563
0.5373160563816987,0.19583711393976366
0.5387907887784231,0.187090103039266
0.5401908514097356,0.2013786348347731
0.5430656464377724,0.20805088057219398
0.5459404414658093,0.21585385115202632
0.5488152364938463,0.22442508135578357
0.5516900315218832,0.23314131320508322
0.5545648265499201,0.24145186897065493
0.5574396215779571,0.2487767015393576
0.5592573113139089,0.262871238508488
0.560314416605994,0.25511581091119123
0.5631892116340309,0.2604691970861558
0.5660640066620678,0.2648368600642513
0.5689388016901047,0.2684175172735251
0.5718135967181417,0.27145209502741285
0.5746883917461786,0.274303058544401
0.5775631867742155,0.27759366580287226
0.5791385845398058,0.275132521180756
0.5804379818022525,0.2813239168028264
0.5833127768302894,0.2854938115442636
0.5861875718583263,0.2901033500271839
0.5890623668863632,0.29533472960160145
0.5919371619144,0.3012520129882575
0.594811956942437,0.3076564827591045
0.5976867519704739,0.3143072126007069
0.598434608456114,0.31359141509773
0.6005615469985108,0.32120420251306464
0.6034363420265477,0.3283474524961777
0.6063111370545846,0.33558335106705917
0.6091859320826216,0.34240138145154814
0.6120607271106585,0.34880154364964466
0.6149355221386954,0.3546016403113345
0.6171453830628332,0.365309033956664
0.6178103171667324,0.3597376087158766
0.6206851121947693,0.3642094488632709
0.6235599072228062,0.3680171607535175
0.6264347022508431,0.37231747885113586
0.62930949727888,0.3772024133220758
0.632184292306917,0.3828255756493245
0.6350590873349539,0.3896974826070425
0.6352709083599636,0.377723152558928
0.6379338823629908,0.39781813419522977
0.6408086773910278,0.40718753041388644
0.6436834724190647,0.41708968878860125
0.6465582674471015,0.4273726472555739
0.6494330624751384,0.4381460284220598
0.6523078575031753,0.4485895301777516
0.6528111843474963,0.4583082563058
0.6551826525312123,0.4586111423566995
0.6580574475592492,0.4682108649589033
0.660225732059387,0.472225747079645
0.6609322425872861,0.47738869798436323
0.6638070376153231,0.4861446414330792
0.66668183264336,0.4944530254841036
0.6695566276713969,0.5022597077988596
0.6724314226994338,0.5097166504411481
0.6753062177274707,0.5167142308037131
0.6780882809494814,0.530698754649365
0.6781810127555077,0.5229160165323428
0.6810558077835446,0.5283220076270371
0.6839306028115815,0.5332258529588823
0.6868053978396184,0.5384428336971966
0.6896801928676553,0.5439729498419802
0.6925549878956923,0.5498418712141805
0.694668526321573,0.543666771224457
0.6954297829237291,0.5568197226267855
0.698304577951766,0.5649065040797949
0.701179372979803,0.5741101958131919
0.7040541680078399,0.5844536552004953
0.7069289630358768,0.5959368822417048
0.7098037580639138,0.6082662280657344
0.7119346059566013,0.617113518994577
0.7126785530919506,0.6206264115032658
0.7155533481199876,0.6329308290484907
0.7184281431480245,0.6443955417264908
0.7213029381760614,0.6550205495372664
0.7241777332040984,0.6648058524808175
0.7267665372168551,0.681637748982489
0.7270525282321352,0.6737434703171608
0.7299273232601722,0.6818105456727779
0.7328021182882091,0.6892468782690393
0.735676913316246,0.6967439485159045
0.738551708344283,0.7043017564133732
0.7414265033723199,0.7120069054672536
0.743561053845008,0.70892864582257
0.7443012984003567,0.720643334652464
0.7471760934283938,0.7302110439690044
0.7500508884564305,0.7410057360971478
0.7529256834844675,0.7532596187181912
0.7558004785125044,0.766972691832135
0.7586752735405413,0.7819051557176081
0.7599397864886858,0.783296414115031
0.7615500685685783,0.7973655299646515
0.7644248635966152,0.8123464567616151
0.7672996586246521,0.8267286909238616
0.7701744536526891,0.8405122324513912
0.7730492486807259,0.8536970813442036
0.7733535310810409,0.866370616861059
0.7759240437087629,0.8662159869055885
0.7787988387367998,0.8785569547992199
0.7816736337648367,0.8907199850250976
0.7845484287928737,0.9027050775832216
0.7867309326548511,0.902037528251891
0.7874232238209106,0.9145122324735923
0.7902980188489475,0.9270495809214089
0.7931728138769845,0.9402644415837136
0.7960476089050212,0.9541568144605067
0.7989224039330582,0.9687266995517879
0.8007451878183092,0.981024013282235
0.8017971989610951,0.983745644873995
0.804671993989132,0.9984843398886566
0.807546789017169,1.0115634689138628
0.8104215840452059,1.0229830319496138
0.8132963790732428,1.0327430289959094
0.816152337797536,1.05478212697845
0.8161711741012798,1.0409426866392
0.8190459691293166,1.0477539314070807
0.8219207641573536,1.0538924156348333
0.8247955591853905,1.0599855952712807
0.8276703542134274,1.0660334703164225
0.8305451492414644,1.072045137963759
0.8318881587838336,1.06171563497646
0.8334199442695012,1.0793999138952
0.8362947392975382,1.0880286207877168
0.8391695343255751,1.096550876917021
0.842044329353612,1.1049666822831126
0.844919124381649,1.1132760368859915
0.8476567255336142,1.13496744064704
0.8477939194096858,1.1207632883903764
0.8506687144377227,1.126991431313317
0.8535435094657597,1.1339060716318992
0.8564183044937965,1.1415072093461236
0.8592930995218335,1.1497948444559896
0.8619115782646974,1.1364978198018
0.8621678945498704,1.1588381542845265
0.8650426895779073,1.1700038117486544
0.8679174846059443,1.1828581471495474
0.8707922796339812,1.197401160487206
0.8736670746620181,1.21363285176163
