term_idx,term_name,w
0,I₁-3,0.005511215164
1,I₂-3,0.002155272807
2,<E_θ>,0.02189361361
3,<E_z>,0.1454202343
4,<I₂-3>ln(1+<I₂-3>),0.0007131920094
5,<I₄θ-1>,0.01665075097
6,<I₄z-1>,0.1452346534
7,<I₄D1-1>,0.04237289028
8,<I₄D2-1>,0.04237289028
13,(<I₄θ-1>)³,0.000554483226
22,exp(<I₄z-1>)-1,0.01331379332
35,<I₂-3>·<E_z>,0.0005318518681
42,I₈D1D2,0.2599651998
