name,PAWN_minimum,PAWN_mean,PAWN_median,PAWN_maximum,PAWN_CV,bucket,kind,n_specimens,n_ages,obs_mean_abs_coeff_raw,obs_max_abs_coeff_raw,psi_grid_mean,psi_grid_std,psi_grid_rms
(<I₄θ-1>)³,0.390625,0.63359375,0.61328125,0.8125,0.2368892130197588,aniso,symbolic,2,2,19.7229794,39.438,0.7855908567534129,1.3663388525161957,1.576082121626229
<I₄z-1>,0.1201923076923077,0.2597355769230769,0.2244591346153846,0.4140625,0.3887141644829599,aniso,symbolic,5,4,0.42652999999999996,0.9969,0.7278685304177712,0.5329012931372842,0.9020955524776274
<E_θ>,0.14322916666666666,0.2130008012820513,0.2109375,0.32271634615384615,0.23779089070527384,iso,symbolic,4,4,0.62326485,1.1852,0.24256909886640526,0.29428791357009,0.3813727098237321
I₈D1D2,0.1484375,0.20410657051282052,0.18489583333333331,0.32091346153846156,0.25917002986207655,cross,symbolic,12,5,1.0969586583333335,3.0141,-1.708765990273336,0.5300253473774584,1.7890802325154151
<I₄D1-1>,0.10336538461538461,0.20192307692307693,0.18359375,0.3567708333333333,0.3142161243502842,aniso,symbolic,4,2,0.633549,1.1688,0.7247205081601106,0.5289673276584702,0.8972325499434315
