lambda_theta,sigma_theta_kpa
0.757673470046234,-0.006520942462060893
0.7587177012715094,-0.005440520056851284
0.7597619324967849,-0.004792266613725514
0.7608061637220603,-0.004035970930078785
0.7618503949473358,-0.0031716330059110985
0.7628946261726112,-0.0021992528412224546
0.7639388573978867,-0.0012268726765337988
0.7649830886231621,-0.0002544925118451545
0.7660273198484375,0.0007178876528434898
0.7670715510737129,0.0016902678175321458
0.7681157822989885,0.002662647982220802
0.7691600135242639,0.0036350281469094458
0.7702042447495393,0.0046074083115980905
0.7712484759748148,0.005579788476286746
0.7722927072000902,0.006552168640975402
0.7733369384253657,0.007524548805664047
0.7743811696506411,0.008496928970352702
0.7754254008759166,0.009469309135041359
0.776469632101192,0.010441689299730003
0.7775138633264674,0.011414069464418648
0.778558094551743,0.012386449629107303
0.7796023257770184,0.013358829793795959
0.7806465570022938,0.014331209958484603
0.7816907882275692,0.015303590123173248
0.7827350194528447,0.016275970287861905
0.7837792506781202,0.017248350452550548
0.7848234819033956,0.018220730617239195
0.785867713128671,0.019193110781927848
0.7869119443539465,0.0201654909466165
0.7879561755792219,0.02113787111130515
0.7890004068044973,0.02211025127599379
0.7900446380297729,0.023082631440682448
0.7910888692550483,0.024055011605371105
0.7921331004803237,0.025027391770059748
0.7931773317055991,0.025999771934748395
0.7942215629308746,0.026972152099437048
0.7952657941561501,0.027944532264125695
0.7963100253814255,0.028916912428814338
0.7973542566067009,0.029889292593502998
0.7983984878319764,0.030861672758191655
0.7994427190572518,0.031834052922880295
0.8004869502825273,0.03280643308756894
0.8015311815078028,0.033778813252257595
0.8025754127330782,0.034751193416946255
0.8036196439583536,0.03573059899799792
0.804663875183629,0.036819490157752675
0.8057081064089046,0.038017866896210506
0.80675233763418,0.039325729213371394
0.8077295631476189,0.0395506990318058
0.8077965688594554,0.04074307710923536
0.8088408000847309,0.04226991058380242
0.8098850313100063,0.04390622963707254
0.8109292625352817,0.04565203426904572
0.8119734937605572,0.047507324479721974
0.8130177249858327,0.0494650748527383
0.8140619562111081,0.05142282522575461
0.8151061874363835,0.05338057559877091
0.8161504186616589,0.0553383259717872
0.8171946498869345,0.05729607634480352
0.8182388811122099,0.05925382671781983
0.8192831123374853,0.06121157709083613
0.8203273435627607,0.06316932746385245
0.8213715747880362,0.06512707783686877
0.8224158060133117,0.06708482820988508
0.8234600372385871,0.06904257858290139
0.8245042684638626,0.07100032895591771
0.825548499689138,0.07295807932893403
0.8265927309144134,0.07491582970195033
0.8276369621396888,0.07687358007496665
0.8286811933649644,0.07883133044798298
0.8297254245902398,0.08078908082099928
0.8307696558155152,0.08274683119401559
0.8318138870407907,0.08470458156703191
0.8328581182660661,0.08666233194004823
0.8339023494913416,0.08862008231306454
0.834946580716617,0.09057783268608086
0.8359908119418925,0.09253558305909718
0.8370350431671679,0.09449333343211348
0.8380792743924433,0.0964510838051298
0.8391235056177189,0.09840883417814612
0.8401677368429943,0.10036658455116243
0.8412119680682697,0.10232433492417874
0.8422561992935451,0.10428208529719504
0.8433004305188206,0.10623983567021136
0.8443446617440961,0.10819758604322767
0.8453888929693715,0.11015533641624398
0.8464331241946469,0.11211308678926028
0.8474773554199224,0.1140708371622766
0.8485215866451978,0.11602858753529291
0.8495658178704732,0.11817618333988111
0.8506100490957487,0.12052711355986344
0.8516542803210242,0.12308137819523977
0.8526985115462996,0.12583897724601015
0.8527677847093154,0.123989464056424
0.853742742771575,0.12879991071217456
0.8547869739968506,0.13196417859373305
0.855831205222126,0.13533178089068562
0.8568754364474014,0.13890271760303222
0.8579196676726768,0.1426769887307729
0.8589638988979523,0.14646474884233568
0.8600081301232277,0.1502525089538984
0.8610523613485032,0.15404026906546117
0.8620965925737787,0.15782802917702396
0.8631408237990541,0.16161578928858675
0.8641850550243295,0.1654035494001495
0.8652292862496049,0.1691913095117123
0.8662735174748805,0.1729790696232751
0.8673177487001559,0.17676682973483784
0.8683619799254313,0.18055458984640058
0.8694062111507068,0.18434234995796336
0.8704504423759822,0.18813011006952615
0.8714946736012577,0.19191787018108897
0.8725389048265331,0.1957056302926517
0.8735831360518086,0.1994933904042145
0.874627367277084,0.20328115051577728
0.8756715985023594,0.20706891062734
0.8767158297276348,0.21085667073890274
0.8777600609529104,0.21464443085046556
0.8788042921781858,0.2184321909620283
0.8798485234034612,0.22221995107359105
0.8808927546287366,0.22600771118515386
0.8819369858540121,0.22979547129671665
0.8829812170792876,0.23358323140827938
0.884025448304563,0.23737099151984214
0.8850696795298385,0.2411587516314049
0.8861139107551139,0.2449465117429677
0.8871581419803893,0.24873427185453045
0.8882023732056648,0.25252203196609324
0.8892466044309403,0.2562876495077875
0.8902908356562157,0.25996569504737355
0.8913350668814911,0.2635561685848515
0.8923792981067666,0.2670590701202213
0.893159495596282,0.270503097849621
0.893423529332042,0.27047439965348297
0.8944677605573175,0.2738021571846364
0.8955119917825929,0.27704234271368183
0.8965562230078684,0.2801949562406191
0.8976004542331438,0.28325999776544813
0.8986446854584192,0.28625960985803767
0.8996889166836948,0.28925922195062714
0.9007331479089702,0.29225883404321673
0.9017773791342456,0.2952584461358062
0.902821610359521,0.2982580582283957
0.9038658415847964,0.30125767032098527
0.904910072810072,0.30425728241357475
0.9059543040353474,0.3072568945061642
0.9069985352606229,0.31025650659875376
0.9080427664858983,0.3132561186913433
0.9090869977111737,0.3162557307839328
0.9101312289364492,0.3192553428765223
0.9111754601617246,0.32225495496911183
0.9122196913870001,0.3252545670617013
0.9132639226122755,0.3282541791542908
0.9143081538375509,0.33125379124688026
0.9153523850628265,0.33425340333946985
0.9163966162881019,0.33725301543205943
0.9174408475133773,0.3402526275246489
0.9184850787386527,0.34325223961723844
0.9195293099639282,0.3462518517098279
0.9205735411892036,0.3492514638024174
0.9216177724144791,0.3522510758950069
0.9226620036397546,0.35525068798759646
0.92370623486503,0.358250300080186
0.9247504660903054,0.36124991217277547
0.9257946973155808,0.36460332559480213
0.9268389285408563,0.3684745647437673
0.9278831597661318,0.3728636296196708
0.9289273909914072,0.37777052022251273
0.9292581574803388,0.374198505622123
0.9299716222166827,0.3831952365522931
0.9310158534419581,0.38913777860901194
0.9320600846672336,0.3955981463926692
0.933104315892509,0.4025763399032649
0.9341485471177844,0.41007235914079915
0.9351927783430599,0.4177324027758347
0.9362370095683353,0.42539244641087015
0.9372812407936107,0.4330524900459056
0.9383254720188863,0.44071253368094115
0.9393697032441617,0.4483725773159767
0.9404139344694371,0.4560326209510121
0.9414581656947125,0.4636926645860477
0.942502396919988,0.4713527082210832
0.9435466281452635,0.4790127518561187
0.9445908593705389,0.4866727954911542
0.9456350905958144,0.49433283912618975
0.9466793218210898,0.5019928827612252
0.9477235530463652,0.5096529263962607
0.9487677842716407,0.5173129700312963
0.9498120154969162,0.5249730136663319
0.9508562467221916,0.5326330573013673
0.951900477947467,0.5402931009364027
0.9529447091727425,0.5479531445714382
0.953988940398018,0.5556131882064737
0.9550331716232934,0.5632732318415092
0.9560774028485688,0.5709332754765448
0.9571216340738442,0.5785933191115803
0.9581658652991197,0.5862508952719939
0.9592100965243952,0.5939057391764443
0.9602543277496707,0.6015578508249312
0.9612985589749461,0.6092072302174549
0.9613997548176592,0.609975824039958
0.9623427902002215,0.6168538773540151
0.9633870214254969,0.6244977922346121
0.9644312526507723,0.6321389748592456
0.9654754838760479,0.6397774252279158
0.9665197151013233,0.6474131433406226
0.9675639463265987,0.6550485966719879
0.9686081775518742,0.6626840500033532
0.9696524087771496,0.6703195033347185
0.9706966400024251,0.6779549566660837
0.9717408712277005,0.685590409997449
0.972785102452976,0.6932258633288144
0.9738293336782514,0.7008613166601797
0.9748735649035268,0.7084967699915449
0.9759177961288024,0.7161322233229102
0.9769620273540778,0.7237676766542754
0.9780062585793532,0.7314031299856408
0.9790504898046286,0.7390385833170061
0.9800947210299041,0.7466740366483713
0.9811389522551796,0.7543094899797367
0.982183183480455,0.761944943311102
0.9832274147057305,0.769580396642467
0.9842716459310059,0.7772158499738325
0.9853158771562813,0.7848513033051977
0.9863601083815567,0.7927430554793098
0.9874043396068322,0.8010570675235975
0.9884485708321077,0.8097933394380609
0.9894928020573831,0.8189518712226999
0.9899032168262504,0.818394083024249
0.9905370332826586,0.8285326628775145
0.991581264507934,0.8385357144025049
0.9926254957332095,0.848961025797671
0.9936697269584849,0.8598085970630124
0.9947139581837603,0.8710784281985299
0.9957581894090358,0.8825142203614761
0.9968024206343112,0.8939500125244222
0.9978466518595867,0.9053858046873683
0.9988908830848622,0.9168215968503144
0.9999351143101376,0.9282573890132606
1.000979345535413,0.9396931811762069
1.0020235767606884,0.9511289733391534
1.0030678079859638,0.9625647655020996
1.0041120392112393,0.9740005576650458
1.005156270436515,0.9854363498279919
1.0062005016617903,0.996872141990938
1.0072447328870657,1.008307934153884
1.0082889641123411,1.0197437263168305
1.0093331953376166,1.0311795184797772
1.010377426562892,1.0426153106427232
1.0114216577881674,1.054000591024451
1.012465889013443,1.0652859251129598
1.0135101202387184,1.0764713129082504
1.0145543514639939,1.0875567544103222
1.0150708394634431,1.09401474514195
1.0155985826892693,1.0985422496191757
1.0166428139145447,1.1094277985348104
1.0176870451398201,1.1202134011572262
1.0187312763650955,1.1308990574864235
1.0197755075903712,1.1414847675224025
1.0208197388156466,1.1520210430463809
1.021863970040922,1.1625573185703593
1.0229082012661974,1.173093594094338
1.0239524324914728,1.1836298696183167
1.0249966637167482,1.1941661451422951
1.0260408949420237,1.2047024206662735
1.0270851261672993,1.215238696190252
1.0281293573925747,1.2257749717142303
1.0291735886178501,1.2363112472382087
1.0302178198431255,1.2468475227621874
1.031262051068401,1.2573837982861662
1.0323062822936764,1.2679200738101448
1.0333505135189518,1.2782765690590585
1.0343947447442274,1.2880788423215859
1.0354389759695029,1.2973268935977273
1.0364832071947783,1.3060207228874825
1.0371887074033808,1.31718366116118
1.0375274384200537,1.3141603301908513
1.038571669645329,1.321745715507834
1.0396159008706045,1.32877687883843
1.04066013209588,1.33525382018264
1.0417043633211556,1.341176539540464
1.0427485945464308,1.3467248171869661
1.0437928257717064,1.352273094833468
1.0448370569969818,1.3578213724799704
1.0458812882222572,1.3633696501264727
1.0469255194475326,1.3689179277729746
1.047969750672808,1.3744662054194767
1.0490139818980837,1.3800144830659788
1.050058213123359,1.3855627607124812
1.0511024443486345,1.3911110383589833
1.05214667557391,1.3966593160054857
1.0531909067991854,1.4020234807019116
1.0542351380244608,1.4071589634613908
1.0552793692497362,1.412065764283923
1.0563236004750118,1.4167438831695078
1.0565271160145038,1.41993375866733
1.057367831700287,1.4211933201181455
1.0584120629255627,1.425414075129836
1.059456294150838,1.4294061482045795
1.0605005253761135,1.433169539342376
1.061544756601389,1.436704248543225
